Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
1302,name,name369,Web,complete,insertValue,2019-03-08T07:46:26.390+11:00,surname,surname369,Web,complete,insertValue,2019-03-08T07:46:35.574+11:00,age,21,Web,complete,insertValue,2019-03-08T07:46:45.964+11:00,4,type,Web,complete,insertValue,2019-03-08T07:46:53.048+11:00,B4,Web,complete,clickButton,2019-03-08T07:47:04.845+11:00,Web,complete,goToUrl,2019-03-08T07:47:07.472+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T07:47:12.014+11:00,valueX,valuex369,Web,complete,insertValue,2019-03-08T07:47:21.866+11:00,Cancel,Web,complete,clickButton,2019-03-08T07:47:23.393+11:00,,
1303,name,name2469,Web,complete,insertValue,2019-03-08T07:47:33.393+11:00,surname,surname2469,Web,complete,insertValue,2019-03-08T07:47:43.388+11:00,age,25,Web,complete,insertValue,2019-03-08T07:47:51.038+11:00,2,type,Web,complete,insertValue,2019-03-08T07:47:54.075+11:00,B1,Web,complete,clickButton,2019-03-08T07:48:01.823+11:00,insertValue,B,1491,Excel,22,complete,2019-03-08T07:48:05.218+11:00,Web,complete,goToUrl,2019-03-08T07:48:21.083+11:00,www.webpage2.com,value2,value1491,Web,complete,copy,2019-03-08T07:48:29.752+11:00,paste,C,vaue1491,Excel,2
1304,name,name1251,Web,complete,insertValue,2019-03-08T07:48:48.821+11:00,surname,surname1251,Web,complete,insertValue,2019-03-08T07:49:08.716+11:00,age,25,Web,complete,insertValue,2019-03-08T07:49:11.134+11:00,4,type,Web,complete,insertValue,2019-03-08T07:49:19.580+11:00,B4,Web,complete,clickButton,2019-03-08T07:49:38.764+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:49:43.268+11:00,data123.xls,3132,Excel,complete,findValue,FALSE,2019-03-08T07:49:47.090+11:00,copy,B,value1251,Excel,1,complete,2019-03-08T07:49:50.088+11:00,paste,C,vaue1251,Excel
1305,name,name742,Web,complete,insertValue,2019-03-08T07:50:12.080+11:00,surname,surname742,Web,complete,insertValue,2019-03-08T07:50:26.809+11:00,age,22,Web,complete,insertValue,2019-03-08T07:50:32.593+11:00,1,type,Web,complete,insertValue,2019-03-08T07:50:41.971+11:00,B1,Web,complete,clickButton,2019-03-08T07:50:49.789+11:00,insertValue,B,4336,Excel,29,complete,2019-03-08T07:50:53.647+11:00,Web,complete,goToUrl,2019-03-08T07:50:54.915+11:00,www.webpage2.com,value2,value4336,Web,complete,copy,2019-03-08T07:51:02.712+11:00,paste,C,vaue4336,Excel,2
1306,name,name430,Web,complete,insertValue,2019-03-08T07:51:20.282+11:00,surname,surname430,Web,complete,insertValue,2019-03-08T07:51:25.369+11:00,age,38,Web,complete,insertValue,2019-03-08T07:51:31.965+11:00,4,type,Web,complete,insertValue,2019-03-08T07:51:48.160+11:00,B4,Web,complete,clickButton,2019-03-08T07:52:05.276+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:52:10.050+11:00,data123.xls,2549,Excel,complete,findValue,FALSE,2019-03-08T07:52:13.766+11:00,copy,B,value430,Excel,1,complete,2019-03-08T07:52:17.087+11:00,finalCode,vaue430,Web,complete
1307,name,name2122,Web,complete,insertValue,2019-03-08T07:52:32.546+11:00,surname,surname2122,Web,complete,insertValue,2019-03-08T07:52:36.628+11:00,age,29,Web,complete,insertValue,2019-03-08T07:52:48.861+11:00,2,type,Web,complete,insertValue,2019-03-08T07:52:55.626+11:00,B1,Web,complete,clickButton,2019-03-08T07:53:12.247+11:00,insertValue,B,2561,Excel,27,complete,2019-03-08T07:53:15.463+11:00,Web,complete,goToUrl,2019-03-08T07:53:30.496+11:00,www.webpage2.com,value2,value2561,Web,complete,copy,2019-03-08T07:53:33.300+11:00,paste,C,vaue2561,Excel,2
1308,name,name2864,Web,complete,insertValue,2019-03-08T07:53:50.962+11:00,surname,surname2864,Web,complete,insertValue,2019-03-08T07:54:00.330+11:00,age,27,Web,complete,insertValue,2019-03-08T07:54:06.928+11:00,1,type,Web,complete,insertValue,2019-03-08T07:54:18.564+11:00,B1,Web,complete,clickButton,2019-03-08T07:54:33.194+11:00,insertValue,B,4762,Excel,8,complete,2019-03-08T07:54:35.672+11:00,Web,complete,goToUrl,2019-03-08T07:54:37.974+11:00,www.webpage2.com,value2,value4762,Web,complete,copy,2019-03-08T07:54:53.513+11:00,paste,C,vaue4762,Excel,2
1309,name,name656,Web,complete,insertValue,2019-03-08T07:55:11.550+11:00,surname,surname656,Web,complete,insertValue,2019-03-08T07:55:22.911+11:00,age,29,Web,complete,insertValue,2019-03-08T07:55:39.168+11:00,4,type,Web,complete,insertValue,2019-03-08T07:55:50.309+11:00,B4,Web,complete,clickButton,2019-03-08T07:55:58.468+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:56:02.946+11:00,data123.xls,4344,Excel,complete,findValue,FALSE,2019-03-08T07:56:06.265+11:00,copy,B,value656,Excel,1,complete,2019-03-08T07:56:07.873+11:00,finalCode,vaue656,Web,complete
1310,name,name1309,Web,complete,insertValue,2019-03-08T07:56:26.084+11:00,surname,surname1309,Web,complete,insertValue,2019-03-08T07:56:27.619+11:00,age,21,Web,complete,insertValue,2019-03-08T07:56:37.086+11:00,2,type,Web,complete,insertValue,2019-03-08T07:56:47.113+11:00,B1,Web,complete,clickButton,2019-03-08T07:57:01.418+11:00,insertValue,B,2519,Excel,5,complete,2019-03-08T07:57:04.010+11:00,Web,complete,goToUrl,2019-03-08T07:57:07.556+11:00,www.webpage2.com,value2,value2519,Web,complete,copy,2019-03-08T07:57:18.461+11:00,paste,C,vaue2519,Excel,2
1311,name,name1876,Web,complete,insertValue,2019-03-08T07:57:39.024+11:00,surname,surname1876,Web,complete,insertValue,2019-03-08T07:57:43.415+11:00,age,28,Web,complete,insertValue,2019-03-08T07:57:43.415+11:00,1,type,Web,complete,insertValue,2019-03-08T07:57:43.415+11:00,B1,Web,complete,clickButton,2019-03-08T07:57:53.294+11:00,insertValue,B,2066,Excel,17,complete,2019-03-08T07:57:55.438+11:00,Web,complete,goToUrl,2019-03-08T07:57:55.438+11:00,www.webpage2.com,value2,value2066,Web,complete,copy,2019-03-08T07:58:05.060+11:00,finalCode,vaue2066,Web,complete,paste
1312,name,name2646,Web,complete,insertValue,2019-03-08T07:58:20.875+11:00,surname,surname2646,Web,complete,insertValue,2019-03-08T07:58:23.568+11:00,age,20,Web,complete,insertValue,2019-03-08T07:58:29.328+11:00,2,type,Web,complete,insertValue,2019-03-08T07:58:42.417+11:00,B1,Web,complete,clickButton,2019-03-08T07:58:50.960+11:00,insertValue,B,2603,Excel,37,complete,2019-03-08T07:58:52.413+11:00,Web,complete,goToUrl,2019-03-08T07:59:00.317+11:00,www.webpage2.com,value2,value2603,Web,complete,copy,2019-03-08T07:59:08.162+11:00,paste,C,vaue2603,Excel,2
1313,name,name1560,Web,complete,insertValue,2019-03-08T07:59:24.203+11:00,surname,surname1560,Web,complete,insertValue,2019-03-08T07:59:29.446+11:00,age,20,Web,complete,insertValue,2019-03-08T07:59:38.722+11:00,3,type,Web,complete,insertValue,2019-03-08T07:59:40.587+11:00,B4,Web,complete,clickButton,2019-03-08T07:59:47.400+11:00,Excel,complete,openFile,Sheet1,2019-03-08T07:59:51.027+11:00,data123.xls,2991,Excel,complete,findValue,TRUE,2019-03-08T07:59:55.364+11:00,copy,B,value1560,Excel,1,complete,2019-03-08T07:59:58.288+11:00,finalCode,vaue1560,Web,complete
1314,name,name2552,Web,complete,insertValue,2019-03-08T08:00:15.584+11:00,surname,surname2552,Web,complete,insertValue,2019-03-08T08:00:22.355+11:00,age,19,Web,complete,insertValue,2019-03-08T08:00:30.353+11:00,1,type,Web,complete,insertValue,2019-03-08T08:00:36.737+11:00,B1,Web,complete,clickButton,2019-03-08T08:00:41.382+11:00,insertValue,B,4955,Excel,34,complete,2019-03-08T08:00:44.468+11:00,Web,complete,goToUrl,2019-03-08T08:00:44.468+11:00,www.webpage2.com,value2,value4955,Web,complete,copy,2019-03-08T08:00:54.493+11:00,finalCode,vaue4955,Web,complete,paste
1315,name,name887,Web,complete,insertValue,2019-03-08T08:01:12.002+11:00,surname,surname887,Web,complete,insertValue,2019-03-08T08:01:24.380+11:00,age,29,Web,complete,insertValue,2019-03-08T08:01:32.040+11:00,2,type,Web,complete,insertValue,2019-03-08T08:01:36.465+11:00,B1,Web,complete,clickButton,2019-03-08T08:01:42.771+11:00,insertValue,B,4480,Excel,16,complete,2019-03-08T08:01:45.205+11:00,Web,complete,goToUrl,2019-03-08T08:01:54.097+11:00,www.webpage2.com,value2,value4480,Web,complete,copy,2019-03-08T08:02:01.977+11:00,finalCode,vaue4480,Web,complete,paste
1316,name,name1530,Web,complete,insertValue,2019-03-08T08:02:17.444+11:00,surname,surname1530,Web,complete,insertValue,2019-03-08T08:02:31.003+11:00,age,19,Web,complete,insertValue,2019-03-08T08:02:42.262+11:00,2,type,Web,complete,insertValue,2019-03-08T08:02:51.258+11:00,B1,Web,complete,clickButton,2019-03-08T08:02:55.927+11:00,insertValue,B,4121,Excel,12,complete,2019-03-08T08:02:59.075+11:00,Web,complete,goToUrl,2019-03-08T08:03:09.435+11:00,www.webpage2.com,value2,value4121,Web,complete,copy,2019-03-08T08:03:20.503+11:00,finalCode,vaue4121,Web,complete,paste
1317,name,name2311,Web,complete,insertValue,2019-03-08T08:03:34.280+11:00,surname,surname2311,Web,complete,insertValue,2019-03-08T08:03:40.189+11:00,age,23,Web,complete,insertValue,2019-03-08T08:03:42.693+11:00,2,type,Web,complete,insertValue,2019-03-08T08:03:42.693+11:00,B1,Web,complete,clickButton,2019-03-08T08:03:59.241+11:00,insertValue,B,2976,Excel,19,complete,2019-03-08T08:04:01.155+11:00,Web,complete,goToUrl,2019-03-08T08:04:15.006+11:00,www.webpage2.com,value2,value2976,Web,complete,copy,2019-03-08T08:04:26.202+11:00,paste,C,vaue2976,Excel,2
1318,name,name2884,Web,complete,insertValue,2019-03-08T08:04:44.162+11:00,surname,surname2884,Web,complete,insertValue,2019-03-08T08:04:59.083+11:00,age,25,Web,complete,insertValue,2019-03-08T08:05:08.282+11:00,3,type,Web,complete,insertValue,2019-03-08T08:05:11.196+11:00,B4,Web,complete,clickButton,2019-03-08T08:05:21.862+11:00,Web,complete,goToUrl,2019-03-08T08:05:25.302+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T08:05:27.388+11:00,valueX,valuex2884,Web,complete,insertValue,2019-03-08T08:05:35.591+11:00,OK,Web,complete,clickButton,2019-03-08T08:05:39.433+11:00,,
1319,name,name228,Web,complete,insertValue,2019-03-08T08:05:49.433+11:00,surname,surname228,Web,complete,insertValue,2019-03-08T08:05:55.384+11:00,age,27,Web,complete,insertValue,2019-03-08T08:05:57.417+11:00,3,type,Web,complete,insertValue,2019-03-08T08:06:00.650+11:00,B4,Web,complete,clickButton,2019-03-08T08:06:00.650+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:06:02.408+11:00,data123.xls,3746,Excel,complete,findValue,TRUE,2019-03-08T08:06:05.200+11:00,copy,B,value228,Excel,1,complete,2019-03-08T08:06:09.017+11:00,finalCode,vaue228,Web,complete
1320,name,name1334,Web,complete,insertValue,2019-03-08T08:06:23.588+11:00,surname,surname1334,Web,complete,insertValue,2019-03-08T08:06:26.258+11:00,age,37,Web,complete,insertValue,2019-03-08T08:06:30.160+11:00,2,type,Web,complete,insertValue,2019-03-08T08:06:42.936+11:00,B1,Web,complete,clickButton,2019-03-08T08:06:50.058+11:00,insertValue,B,2872,Excel,29,complete,2019-03-08T08:06:53.053+11:00,Web,complete,goToUrl,2019-03-08T08:06:56.575+11:00,www.webpage2.com,value2,value2872,Web,complete,copy,2019-03-08T08:07:02.761+11:00,paste,C,vaue2872,Excel,2
1321,name,name1024,Web,complete,insertValue,2019-03-08T08:07:17.149+11:00,surname,surname1024,Web,complete,insertValue,2019-03-08T08:07:26.188+11:00,age,32,Web,complete,insertValue,2019-03-08T08:07:40.266+11:00,1,type,Web,complete,insertValue,2019-03-08T08:07:48.636+11:00,B1,Web,complete,clickButton,2019-03-08T08:07:56.009+11:00,insertValue,B,3516,Excel,37,complete,2019-03-08T08:07:57.456+11:00,Web,complete,goToUrl,2019-03-08T08:08:05.415+11:00,www.webpage2.com,value2,value3516,Web,complete,copy,2019-03-08T08:08:17.315+11:00,finalCode,vaue3516,Web,complete,paste
1322,name,name16,Web,complete,insertValue,2019-03-08T08:08:33.410+11:00,surname,surname16,Web,complete,insertValue,2019-03-08T08:08:41.019+11:00,age,50,Web,complete,insertValue,2019-03-08T08:08:59.159+11:00,4,type,Web,complete,insertValue,2019-03-08T08:09:07.068+11:00,B4,Web,complete,clickButton,2019-03-08T08:09:16.099+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:09:19.841+11:00,data123.xls,2316,Excel,complete,findValue,TRUE,2019-03-08T08:09:22.990+11:00,copy,B,value16,Excel,1,complete,2019-03-08T08:09:28.426+11:00,paste,C,vaue16,Excel
1323,name,name2067,Web,complete,insertValue,2019-03-08T08:09:45.802+11:00,surname,surname2067,Web,complete,insertValue,2019-03-08T08:09:55.288+11:00,age,22,Web,complete,insertValue,2019-03-08T08:09:55.565+11:00,4,type,Web,complete,insertValue,2019-03-08T08:10:08.587+11:00,B4,Web,complete,clickButton,2019-03-08T08:10:08.587+11:00,Web,complete,goToUrl,2019-03-08T08:10:10.488+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T08:10:13.748+11:00,valueX,valuex2067,Web,complete,insertValue,2019-03-08T08:10:24.370+11:00,OK,Web,complete,clickButton,2019-03-08T08:10:26.872+11:00,,
1324,name,name951,Web,complete,insertValue,2019-03-08T08:10:36.872+11:00,surname,surname951,Web,complete,insertValue,2019-03-08T08:10:36.872+11:00,age,38,Web,complete,insertValue,2019-03-08T08:10:49.691+11:00,2,type,Web,complete,insertValue,2019-03-08T08:10:52.621+11:00,B1,Web,complete,clickButton,2019-03-08T08:10:56.647+11:00,insertValue,B,2807,Excel,20,complete,2019-03-08T08:11:00.538+11:00,Web,complete,goToUrl,2019-03-08T08:11:08.109+11:00,www.webpage2.com,value2,value2807,Web,complete,copy,2019-03-08T08:11:16.992+11:00,paste,C,vaue2807,Excel,2
1325,name,name1784,Web,complete,insertValue,2019-03-08T08:11:33.150+11:00,surname,surname1784,Web,complete,insertValue,2019-03-08T08:11:42.050+11:00,age,21,Web,complete,insertValue,2019-03-08T08:11:50.250+11:00,1,type,Web,complete,insertValue,2019-03-08T08:11:53.078+11:00,B1,Web,complete,clickButton,2019-03-08T08:11:53.777+11:00,insertValue,B,2924,Excel,8,complete,2019-03-08T08:11:56.112+11:00,Web,complete,goToUrl,2019-03-08T08:12:00.445+11:00,www.webpage2.com,value2,value2924,Web,complete,copy,2019-03-08T08:12:16.420+11:00,paste,C,vaue2924,Excel,2
1326,name,name542,Web,complete,insertValue,2019-03-08T08:12:33.920+11:00,surname,surname542,Web,complete,insertValue,2019-03-08T08:12:45.133+11:00,age,45,Web,complete,insertValue,2019-03-08T08:13:05.353+11:00,2,type,Web,complete,insertValue,2019-03-08T08:13:09.619+11:00,B1,Web,complete,clickButton,2019-03-08T08:13:25.182+11:00,insertValue,B,2342,Excel,38,complete,2019-03-08T08:13:27.752+11:00,Web,complete,goToUrl,2019-03-08T08:13:32.668+11:00,www.webpage2.com,value2,value2342,Web,complete,copy,2019-03-08T08:13:45.408+11:00,finalCode,vaue2342,Web,complete,paste
1327,name,name1991,Web,complete,insertValue,2019-03-08T08:13:59.037+11:00,surname,surname1991,Web,complete,insertValue,2019-03-08T08:14:10.990+11:00,age,42,Web,complete,insertValue,2019-03-08T08:14:18.728+11:00,4,type,Web,complete,insertValue,2019-03-08T08:14:34.507+11:00,B4,Web,complete,clickButton,2019-03-08T08:14:38.749+11:00,Web,complete,goToUrl,2019-03-08T08:14:42.928+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T08:14:46.921+11:00,valueX,valuex1991,Web,complete,insertValue,2019-03-08T08:14:57.764+11:00,OK,Web,complete,clickButton,2019-03-08T08:15:00.406+11:00,,
1328,name,name876,Web,complete,insertValue,2019-03-08T08:15:10.406+11:00,surname,surname876,Web,complete,insertValue,2019-03-08T08:15:23.227+11:00,age,27,Web,complete,insertValue,2019-03-08T08:15:38.354+11:00,2,type,Web,complete,insertValue,2019-03-08T08:15:46.449+11:00,B1,Web,complete,clickButton,2019-03-08T08:15:48.730+11:00,insertValue,B,4492,Excel,30,complete,2019-03-08T08:15:51.818+11:00,Web,complete,goToUrl,2019-03-08T08:16:03.269+11:00,www.webpage2.com,value2,value4492,Web,complete,copy,2019-03-08T08:16:03.269+11:00,finalCode,vaue4492,Web,complete,paste
1329,name,name4,Web,complete,insertValue,2019-03-08T08:16:17.200+11:00,surname,surname4,Web,complete,insertValue,2019-03-08T08:16:22.926+11:00,age,27,Web,complete,insertValue,2019-03-08T08:16:31.459+11:00,1,type,Web,complete,insertValue,2019-03-08T08:16:38.784+11:00,B1,Web,complete,clickButton,2019-03-08T08:16:54.285+11:00,insertValue,B,2689,Excel,26,complete,2019-03-08T08:16:55.276+11:00,Web,complete,goToUrl,2019-03-08T08:17:16.395+11:00,www.webpage2.com,value2,value2689,Web,complete,copy,2019-03-08T08:17:17.611+11:00,finalCode,vaue2689,Web,complete,paste
1330,name,name1375,Web,complete,insertValue,2019-03-08T08:17:34.030+11:00,surname,surname1375,Web,complete,insertValue,2019-03-08T08:17:45.391+11:00,age,20,Web,complete,insertValue,2019-03-08T08:17:56.653+11:00,1,type,Web,complete,insertValue,2019-03-08T08:18:04.156+11:00,B1,Web,complete,clickButton,2019-03-08T08:18:11.949+11:00,insertValue,B,1444,Excel,30,complete,2019-03-08T08:18:14.946+11:00,Web,complete,goToUrl,2019-03-08T08:18:14.946+11:00,www.webpage2.com,value2,value1444,Web,complete,copy,2019-03-08T08:18:14.946+11:00,finalCode,vaue1444,Web,complete,paste
1331,name,name2777,Web,complete,insertValue,2019-03-08T08:18:30.208+11:00,surname,surname2777,Web,complete,insertValue,2019-03-08T08:18:35.182+11:00,age,21,Web,complete,insertValue,2019-03-08T08:18:41.442+11:00,2,type,Web,complete,insertValue,2019-03-08T08:18:55.102+11:00,B1,Web,complete,clickButton,2019-03-08T08:19:07.149+11:00,insertValue,B,3207,Excel,2,complete,2019-03-08T08:19:10.056+11:00,Web,complete,goToUrl,2019-03-08T08:19:12.211+11:00,www.webpage2.com,value2,value3207,Web,complete,copy,2019-03-08T08:19:22.024+11:00,paste,C,vaue3207,Excel,2
1332,name,name2614,Web,complete,insertValue,2019-03-08T08:19:36.996+11:00,surname,surname2614,Web,complete,insertValue,2019-03-08T08:19:52.307+11:00,age,23,Web,complete,insertValue,2019-03-08T08:20:08.611+11:00,1,type,Web,complete,insertValue,2019-03-08T08:20:19.218+11:00,B1,Web,complete,clickButton,2019-03-08T08:20:30.525+11:00,insertValue,B,3038,Excel,14,complete,2019-03-08T08:20:35.897+11:00,Web,complete,goToUrl,2019-03-08T08:20:49.951+11:00,www.webpage2.com,value2,value3038,Web,complete,copy,2019-03-08T08:21:05.080+11:00,paste,C,vaue3038,Excel,2
1333,name,name316,Web,complete,insertValue,2019-03-08T08:21:25.282+11:00,surname,surname316,Web,complete,insertValue,2019-03-08T08:21:29.121+11:00,age,22,Web,complete,insertValue,2019-03-08T08:21:37.280+11:00,4,type,Web,complete,insertValue,2019-03-08T08:21:52.707+11:00,B4,Web,complete,clickButton,2019-03-08T08:22:02.403+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:22:05.761+11:00,data123.xls,4978,Excel,complete,findValue,FALSE,2019-03-08T08:22:08.675+11:00,copy,B,value316,Excel,1,complete,2019-03-08T08:22:12.590+11:00,paste,C,vaue316,Excel
1334,name,name171,Web,complete,insertValue,2019-03-08T08:22:31.887+11:00,surname,surname171,Web,complete,insertValue,2019-03-08T08:22:41.921+11:00,age,29,Web,complete,insertValue,2019-03-08T08:22:50.332+11:00,1,type,Web,complete,insertValue,2019-03-08T08:22:53.898+11:00,B1,Web,complete,clickButton,2019-03-08T08:22:53.898+11:00,insertValue,B,1562,Excel,13,complete,2019-03-08T08:22:56.014+11:00,Web,complete,goToUrl,2019-03-08T08:23:06.223+11:00,www.webpage2.com,value2,value1562,Web,complete,copy,2019-03-08T08:23:13.517+11:00,finalCode,vaue1562,Web,complete,paste
1335,name,name2351,Web,complete,insertValue,2019-03-08T08:23:31.909+11:00,surname,surname2351,Web,complete,insertValue,2019-03-08T08:23:45.403+11:00,age,20,Web,complete,insertValue,2019-03-08T08:23:46.333+11:00,2,type,Web,complete,insertValue,2019-03-08T08:23:53.639+11:00,B1,Web,complete,clickButton,2019-03-08T08:24:00.588+11:00,insertValue,B,2704,Excel,9,complete,2019-03-08T08:24:04.199+11:00,Web,complete,goToUrl,2019-03-08T08:24:11.874+11:00,www.webpage2.com,value2,value2704,Web,complete,copy,2019-03-08T08:24:15.411+11:00,paste,C,vaue2704,Excel,2
1336,name,name2219,Web,complete,insertValue,2019-03-08T08:24:34.020+11:00,surname,surname2219,Web,complete,insertValue,2019-03-08T08:24:42.502+11:00,age,22,Web,complete,insertValue,2019-03-08T08:24:47.005+11:00,2,type,Web,complete,insertValue,2019-03-08T08:24:52.883+11:00,B1,Web,complete,clickButton,2019-03-08T08:24:57.006+11:00,insertValue,B,1358,Excel,15,complete,2019-03-08T08:25:00.075+11:00,Web,complete,goToUrl,2019-03-08T08:25:15.332+11:00,www.webpage2.com,value2,value1358,Web,complete,copy,2019-03-08T08:25:24.981+11:00,paste,C,vaue1358,Excel,2
1337,name,name621,Web,complete,insertValue,2019-03-08T08:25:40.400+11:00,surname,surname621,Web,complete,insertValue,2019-03-08T08:25:54.528+11:00,age,25,Web,complete,insertValue,2019-03-08T08:25:54.528+11:00,2,type,Web,complete,insertValue,2019-03-08T08:26:01.004+11:00,B1,Web,complete,clickButton,2019-03-08T08:26:12.961+11:00,insertValue,B,3374,Excel,14,complete,2019-03-08T08:26:15.571+11:00,Web,complete,goToUrl,2019-03-08T08:26:22.861+11:00,www.webpage2.com,value2,value3374,Web,complete,copy,2019-03-08T08:26:28.177+11:00,paste,C,vaue3374,Excel,2
1338,name,name442,Web,complete,insertValue,2019-03-08T08:26:45.912+11:00,surname,surname442,Web,complete,insertValue,2019-03-08T08:26:52.475+11:00,age,28,Web,complete,insertValue,2019-03-08T08:27:01.372+11:00,1,type,Web,complete,insertValue,2019-03-08T08:27:03.934+11:00,B1,Web,complete,clickButton,2019-03-08T08:27:09.434+11:00,insertValue,B,3938,Excel,33,complete,2019-03-08T08:27:13.630+11:00,Web,complete,goToUrl,2019-03-08T08:27:25.719+11:00,www.webpage2.com,value2,value3938,Web,complete,copy,2019-03-08T08:27:28.623+11:00,paste,C,vaue3938,Excel,2
1339,name,name21,Web,complete,insertValue,2019-03-08T08:27:46.314+11:00,surname,surname21,Web,complete,insertValue,2019-03-08T08:27:46.314+11:00,age,29,Web,complete,insertValue,2019-03-08T08:27:51.616+11:00,4,type,Web,complete,insertValue,2019-03-08T08:28:04.918+11:00,B4,Web,complete,clickButton,2019-03-08T08:28:16.922+11:00,Web,complete,goToUrl,2019-03-08T08:28:19.156+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T08:28:23.731+11:00,valueX,valuex21,Web,complete,insertValue,2019-03-08T08:28:38.134+11:00,Cancel,Web,complete,clickButton,2019-03-08T08:28:40.538+11:00,,
1340,name,name1758,Web,complete,insertValue,2019-03-08T08:28:50.538+11:00,surname,surname1758,Web,complete,insertValue,2019-03-08T08:28:58.502+11:00,age,23,Web,complete,insertValue,2019-03-08T08:29:00.111+11:00,2,type,Web,complete,insertValue,2019-03-08T08:29:14.838+11:00,B1,Web,complete,clickButton,2019-03-08T08:29:15.939+11:00,insertValue,B,1482,Excel,15,complete,2019-03-08T08:29:19.600+11:00,Web,complete,goToUrl,2019-03-08T08:29:36.771+11:00,www.webpage2.com,value2,value1482,Web,complete,copy,2019-03-08T08:29:42.999+11:00,paste,C,vaue1482,Excel,2
1341,name,name1880,Web,complete,insertValue,2019-03-08T08:30:01.741+11:00,surname,surname1880,Web,complete,insertValue,2019-03-08T08:30:01.741+11:00,age,41,Web,complete,insertValue,2019-03-08T08:30:05.755+11:00,2,type,Web,complete,insertValue,2019-03-08T08:30:14.095+11:00,B1,Web,complete,clickButton,2019-03-08T08:30:15.232+11:00,insertValue,B,1752,Excel,3,complete,2019-03-08T08:30:17.720+11:00,Web,complete,goToUrl,2019-03-08T08:30:19.134+11:00,www.webpage2.com,value2,value1752,Web,complete,copy,2019-03-08T08:30:25.165+11:00,finalCode,vaue1752,Web,complete,paste
1342,name,name2051,Web,complete,insertValue,2019-03-08T08:30:42.097+11:00,surname,surname2051,Web,complete,insertValue,2019-03-08T08:30:45.895+11:00,age,20,Web,complete,insertValue,2019-03-08T08:30:56.404+11:00,4,type,Web,complete,insertValue,2019-03-08T08:31:03.582+11:00,B4,Web,complete,clickButton,2019-03-08T08:31:08.057+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:31:11.822+11:00,data123.xls,4676,Excel,complete,findValue,TRUE,2019-03-08T08:31:15.741+11:00,copy,B,value2051,Excel,1,complete,2019-03-08T08:31:19.234+11:00,finalCode,vaue2051,Web,complete
1343,name,name2732,Web,complete,insertValue,2019-03-08T08:31:35.211+11:00,surname,surname2732,Web,complete,insertValue,2019-03-08T08:31:44.498+11:00,age,20,Web,complete,insertValue,2019-03-08T08:31:51.604+11:00,4,type,Web,complete,insertValue,2019-03-08T08:31:59.907+11:00,B4,Web,complete,clickButton,2019-03-08T08:32:01.003+11:00,Excel,complete,openFile,Sheet1,2019-03-08T08:32:03.033+11:00,data123.xls,3397,Excel,complete,findValue,TRUE,2019-03-08T08:32:07.115+11:00,copy,B,value2732,Excel,1,complete,2019-03-08T08:32:09.715+11:00,paste,C,vaue2732,Excel
1344,name,name1648,Web,complete,insertValue,2019-03-08T08:32:25.429+11:00,surname,surname1648,Web,complete,insertValue,2019-03-08T08:32:30.488+11:00,age,19,Web,complete,insertValue,2019-03-08T08:32:34.304+11:00,3,type,Web,complete,insertValue,2019-03-08T08:32:39.942+11:00,B4,Web,complete,clickButton,2019-03-08T08:32:48.111+11:00,Web,complete,goToUrl,2019-03-08T08:32:49.926+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-08T08:32:54.211+11:00,valueX,valuex1648,Web,complete,insertValue,2019-03-08T08:33:00.678+11:00,OK,Web,complete,clickButton,2019-03-08T08:33:03.113+11:00,,
1345,name,name559,Web,complete,insertValue,2019-03-08T08:33:13.113+11:00,surname,surname559,Web,complete,insertValue,2019-03-08T08:33:26.488+11:00,age,27,Web,complete,insertValue,2019-03-08T08:33:28.351+11:00,2,type,Web,complete,insertValue,2019-03-08T08:33:36.001+11:00,B1,Web,complete,clickButton,2019-03-08T08:33:41.841+11:00,insertValue,B,2158,Excel,17,complete,2019-03-08T08:33:43.997+11:00,Web,complete,goToUrl,2019-03-08T08:33:50.470+11:00,www.webpage2.com,value2,value2158,Web,complete,copy,2019-03-08T08:34:08.446+11:00,finalCode,vaue2158,Web,complete,paste
