Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
774,Clients,Web,complete,clickButton,2019-03-06T00:49:16.706+11:00,clientID,ID487,Web,complete,insertValue,2019-03-06T00:49:18.765+11:00,Web,complete,pressKey,2019-03-06T00:49:22.277+11:00,enter,update,ID487,Web,complete,clickButton,2019-03-06T00:49:26.059+11:00,address,addA1380addB656,Web,complete,insertValue,2019-03-06T00:49:29.604+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:49:35.181+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:49:36.283+11:00,ID487,address,addB656,Web,complete,copy,2019-03-06T00:49:46.046+11:00,paste,A,addB656,Excel,5,complete,2019-03-06T00:49:49.249+11:00,save,Excel,complete,saveFile,2019-03-06T00:49:53.425+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T00:49:56.454+11:00
775,Clients,Web,complete,clickButton,2019-03-06T00:50:09.247+11:00,clientID,ID1857,Web,complete,insertValue,2019-03-06T00:50:12.866+11:00,Web,complete,pressKey,2019-03-06T00:50:25.137+11:00,enter,update,ID1857,Web,complete,clickButton,2019-03-06T00:50:27.425+11:00,address,addA1416addB1821,Web,complete,insertValue,2019-03-06T00:50:29.121+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:50:33.764+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:50:50.764+11:00,ID1857,address,addB1821,Web,complete,copy,2019-03-06T00:50:58.420+11:00,paste,A,addB1821,Excel,5,complete,2019-03-06T00:51:04.675+11:00,save,Excel,complete,saveFile,2019-03-06T00:51:09.622+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T00:51:12.109+11:00
776,Clients,Web,complete,clickButton,2019-03-06T00:51:25.109+11:00,clientID,ID998,Web,complete,insertValue,2019-03-06T00:51:27.546+11:00,Web,complete,pressKey,2019-03-06T00:51:38.502+11:00,enter,update,ID998,Web,complete,clickButton,2019-03-06T00:51:41.292+11:00,address,addA514addB1715,Web,complete,insertValue,2019-03-06T00:51:44.980+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:51:54.664+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:52:04.486+11:00,ID998,address,addB1715,Web,complete,copy,2019-03-06T00:52:14.748+11:00,paste,A,addB1715,Excel,5,complete,2019-03-06T00:52:19.961+11:00,save,Excel,complete,saveFile,2019-03-06T00:52:23.173+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T00:52:27.047+11:00
777,Clients,Web,complete,clickButton,2019-03-06T00:52:40.723+11:00,clientID,ID233,Web,complete,insertValue,2019-03-06T00:52:42.146+11:00,Web,complete,pressKey,2019-03-06T00:52:51.556+11:00,enter,update,ID233,Web,complete,clickButton,2019-03-06T00:52:53.835+11:00,address,addA26addB690,Web,complete,insertValue,2019-03-06T00:52:56.334+11:00,Country160,country,Web,complete,insertValue,2019-03-06T00:53:00.181+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T00:53:04.688+11:00,OK,Web,complete,clickButton,2019-03-06T00:53:08.250+11:00,Confirm,Web,complete,clickButton,2019-03-06T00:53:11.371+11:00,,,,,,,,,,,,,,,
778,Clients,Web,complete,clickButton,2019-03-06T00:53:23.471+11:00,clientID,ID1700,Web,complete,insertValue,2019-03-06T00:53:29.325+11:00,Web,complete,pressKey,2019-03-06T00:53:34.456+11:00,enter,update,ID1700,Web,complete,clickButton,2019-03-06T00:53:37.520+11:00,address,addA1455addB1342,Web,complete,insertValue,2019-03-06T00:53:40.437+11:00,Country160,country,Web,complete,insertValue,2019-03-06T00:53:51.006+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T00:54:00.869+11:00,OK,Web,complete,clickButton,2019-03-06T00:54:03.702+11:00,Confirm,Web,complete,clickButton,2019-03-06T00:54:08.258+11:00,,,,,,,,,,,,,,,
779,Clients,Web,complete,clickButton,2019-03-06T00:54:21.277+11:00,clientID,ID1923,Web,complete,insertValue,2019-03-06T00:54:25.762+11:00,Web,complete,pressKey,2019-03-06T00:54:44.356+11:00,enter,update,ID1923,Web,complete,clickButton,2019-03-06T00:54:46.460+11:00,address,addA1287addB194,Web,complete,insertValue,2019-03-06T00:54:50.901+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:55:03.999+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:55:14.997+11:00,ID1923,address,addB194,Web,complete,copy,2019-03-06T00:55:15.878+11:00,paste,A,addB194,Excel,5,complete,2019-03-06T00:55:15.878+11:00,save,Excel,complete,saveFile,2019-03-06T00:55:18.137+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T00:55:20.263+11:00
780,Clients,Web,complete,clickButton,2019-03-06T00:55:33.441+11:00,clientID,ID1444,Web,complete,insertValue,2019-03-06T00:55:36.488+11:00,Web,complete,pressKey,2019-03-06T00:55:39.652+11:00,enter,update,ID1444,Web,complete,clickButton,2019-03-06T00:55:40.966+11:00,address,addA523addB1324,Web,complete,insertValue,2019-03-06T00:55:44.143+11:00,Country136,country,Web,complete,insertValue,2019-03-06T00:55:57.879+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T00:56:09.290+11:00,OK,Web,complete,clickButton,2019-03-06T00:56:11.951+11:00,Confirm,Web,complete,clickButton,2019-03-06T00:56:16.199+11:00,,,,,,,,,,,,,,,
781,Clients,Web,complete,clickButton,2019-03-06T00:56:28.135+11:00,clientID,ID21,Web,complete,insertValue,2019-03-06T00:56:29.335+11:00,Web,complete,pressKey,2019-03-06T00:56:31.803+11:00,enter,update,ID21,Web,complete,clickButton,2019-03-06T00:56:36.574+11:00,address,addA1989addB245,Web,complete,insertValue,2019-03-06T00:56:39.650+11:00,Country12,country,Web,complete,insertValue,2019-03-06T00:56:47.251+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T00:57:01.832+11:00,OK,Web,complete,clickButton,2019-03-06T00:57:07.680+11:00,Confirm,Web,complete,clickButton,2019-03-06T00:57:11.176+11:00,,,,,,,,,,,,,,,
782,Clients,Web,complete,clickButton,2019-03-06T00:57:24.151+11:00,clientID,ID1586,Web,complete,insertValue,2019-03-06T00:57:27.399+11:00,Web,complete,pressKey,2019-03-06T00:57:33.749+11:00,enter,update,ID1586,Web,complete,clickButton,2019-03-06T00:57:36.833+11:00,address,addA35addB455,Web,complete,insertValue,2019-03-06T00:57:40.800+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:57:52.557+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:58:05.305+11:00,ID1586,address,addB455,Web,complete,copy,2019-03-06T00:58:12.605+11:00,paste,A,addB455,Excel,5,complete,2019-03-06T00:58:27.525+11:00,save,Excel,complete,saveFile,2019-03-06T00:58:31.400+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T00:58:31.706+11:00
783,Clients,Web,complete,clickButton,2019-03-06T00:58:44.040+11:00,clientID,ID444,Web,complete,insertValue,2019-03-06T00:58:46.402+11:00,Web,complete,pressKey,2019-03-06T00:58:47.209+11:00,enter,update,ID444,Web,complete,clickButton,2019-03-06T00:58:52.141+11:00,address,addA472addB465,Web,complete,insertValue,2019-03-06T00:58:54.684+11:00,Country67,country,Web,complete,insertValue,2019-03-06T00:58:59.990+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T00:59:01.398+11:00,OK,Web,complete,clickButton,2019-03-06T00:59:03.395+11:00,Confirm,Web,complete,clickButton,2019-03-06T00:59:05.867+11:00,,,,,,,,,,,,,,,
784,Clients,Web,complete,clickButton,2019-03-06T00:59:17.925+11:00,clientID,ID404,Web,complete,insertValue,2019-03-06T00:59:22.479+11:00,Web,complete,pressKey,2019-03-06T00:59:42.774+11:00,enter,update,ID404,Web,complete,clickButton,2019-03-06T00:59:45.498+11:00,address,addA128addB1521,Web,complete,insertValue,2019-03-06T00:59:49.150+11:00,Australia,country,Web,complete,insertValue,2019-03-06T00:59:51.043+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T00:59:56.937+11:00,ID404,address,addB1521,Web,complete,copy,2019-03-06T01:00:10.457+11:00,paste,A,addB1521,Excel,5,complete,2019-03-06T01:00:28.318+11:00,save,Excel,complete,saveFile,2019-03-06T01:00:32.318+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:00:36.567+11:00
785,Clients,Web,complete,clickButton,2019-03-06T01:00:49.757+11:00,clientID,ID352,Web,complete,insertValue,2019-03-06T01:00:52.061+11:00,Web,complete,pressKey,2019-03-06T01:01:02.479+11:00,enter,update,ID352,Web,complete,clickButton,2019-03-06T01:01:04.013+11:00,address,addA1283addB1091,Web,complete,insertValue,2019-03-06T01:01:06.463+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:01:13.797+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:01:17.593+11:00,ID352,address,addB1091,Web,complete,copy,2019-03-06T01:01:17.593+11:00,paste,A,addB1091,Excel,5,complete,2019-03-06T01:01:20.350+11:00,save,Excel,complete,saveFile,2019-03-06T01:01:23.325+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:01:25.482+11:00
786,Clients,Web,complete,clickButton,2019-03-06T01:01:38.624+11:00,clientID,ID1610,Web,complete,insertValue,2019-03-06T01:01:41.859+11:00,Web,complete,pressKey,2019-03-06T01:01:46.772+11:00,enter,update,ID1610,Web,complete,clickButton,2019-03-06T01:01:48.904+11:00,address,addA257addB1210,Web,complete,insertValue,2019-03-06T01:01:53.258+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:02:00.639+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:02:05.177+11:00,ID1610,address,addB1210,Web,complete,copy,2019-03-06T01:02:12.406+11:00,paste,A,addB1210,Excel,5,complete,2019-03-06T01:02:21.796+11:00,save,Excel,complete,saveFile,2019-03-06T01:02:24.839+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:02:27.251+11:00
787,Clients,Web,complete,clickButton,2019-03-06T01:02:39.576+11:00,clientID,ID456,Web,complete,insertValue,2019-03-06T01:02:42.839+11:00,Web,complete,pressKey,2019-03-06T01:02:48.861+11:00,enter,update,ID456,Web,complete,clickButton,2019-03-06T01:02:51.562+11:00,address,addA696addB1490,Web,complete,insertValue,2019-03-06T01:02:54.491+11:00,Country163,country,Web,complete,insertValue,2019-03-06T01:02:54.491+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:03:01.545+11:00,OK,Web,complete,clickButton,2019-03-06T01:03:02.909+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:03:06.373+11:00,,,,,,,,,,,,,,,
788,Clients,Web,complete,clickButton,2019-03-06T01:03:20.906+11:00,clientID,ID42,Web,complete,insertValue,2019-03-06T01:03:24.215+11:00,Web,complete,pressKey,2019-03-06T01:03:25.899+11:00,enter,update,ID42,Web,complete,clickButton,2019-03-06T01:03:29.157+11:00,address,addA1076addB188,Web,complete,insertValue,2019-03-06T01:03:30.300+11:00,Country113,country,Web,complete,insertValue,2019-03-06T01:03:38.466+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:03:47.092+11:00,OK,Web,complete,clickButton,2019-03-06T01:03:50.443+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:03:54.252+11:00,,,,,,,,,,,,,,,
789,Clients,Web,complete,clickButton,2019-03-06T01:04:06.550+11:00,clientID,ID254,Web,complete,insertValue,2019-03-06T01:04:09.394+11:00,Web,complete,pressKey,2019-03-06T01:04:20.680+11:00,enter,update,ID254,Web,complete,clickButton,2019-03-06T01:04:25.024+11:00,address,addA910addB738,Web,complete,insertValue,2019-03-06T01:04:30.145+11:00,Country172,country,Web,complete,insertValue,2019-03-06T01:04:39.619+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:04:47.645+11:00,OK,Web,complete,clickButton,2019-03-06T01:04:50.364+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:04:52.842+11:00,,,,,,,,,,,,,,,
790,Clients,Web,complete,clickButton,2019-03-06T01:05:06.466+11:00,clientID,ID1321,Web,complete,insertValue,2019-03-06T01:05:09.297+11:00,Web,complete,pressKey,2019-03-06T01:05:23.338+11:00,enter,update,ID1321,Web,complete,clickButton,2019-03-06T01:05:26.803+11:00,address,addA1225addB972,Web,complete,insertValue,2019-03-06T01:05:29.867+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:05:32.929+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:05:45.450+11:00,ID1321,address,addB972,Web,complete,copy,2019-03-06T01:05:45.450+11:00,paste,A,addB972,Excel,5,complete,2019-03-06T01:05:53.430+11:00,save,Excel,complete,saveFile,2019-03-06T01:05:54.916+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:05:57.629+11:00
791,Clients,Web,complete,clickButton,2019-03-06T01:06:10.855+11:00,clientID,ID396,Web,complete,insertValue,2019-03-06T01:06:15.023+11:00,Web,complete,pressKey,2019-03-06T01:06:25.435+11:00,enter,update,ID396,Web,complete,clickButton,2019-03-06T01:06:27.821+11:00,address,addA1195addB786,Web,complete,insertValue,2019-03-06T01:06:30.795+11:00,Country141,country,Web,complete,insertValue,2019-03-06T01:06:35.588+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:06:53.269+11:00,OK,Web,complete,clickButton,2019-03-06T01:06:57.086+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:07:00.672+11:00,,,,,,,,,,,,,,,
792,Clients,Web,complete,clickButton,2019-03-06T01:07:12.121+11:00,clientID,ID188,Web,complete,insertValue,2019-03-06T01:07:15.063+11:00,Web,complete,pressKey,2019-03-06T01:07:24.566+11:00,enter,update,ID188,Web,complete,clickButton,2019-03-06T01:07:28.024+11:00,address,addA800addB578,Web,complete,insertValue,2019-03-06T01:07:32.878+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:07:39.128+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:07:48.815+11:00,ID188,address,addB578,Web,complete,copy,2019-03-06T01:08:01.288+11:00,paste,A,addB578,Excel,5,complete,2019-03-06T01:08:05.652+11:00,save,Excel,complete,saveFile,2019-03-06T01:08:06.478+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:08:09.779+11:00
793,Clients,Web,complete,clickButton,2019-03-06T01:08:22.589+11:00,clientID,ID1766,Web,complete,insertValue,2019-03-06T01:08:25.728+11:00,Web,complete,pressKey,2019-03-06T01:08:33.902+11:00,enter,update,ID1766,Web,complete,clickButton,2019-03-06T01:08:36.356+11:00,address,addA230addB1025,Web,complete,insertValue,2019-03-06T01:08:39.077+11:00,Country134,country,Web,complete,insertValue,2019-03-06T01:08:49.594+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:08:58.601+11:00,OK,Web,complete,clickButton,2019-03-06T01:09:01.930+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:09:02.497+11:00,,,,,,,,,,,,,,,
794,Clients,Web,complete,clickButton,2019-03-06T01:09:15.707+11:00,clientID,ID1182,Web,complete,insertValue,2019-03-06T01:09:17.891+11:00,Web,complete,pressKey,2019-03-06T01:09:35.271+11:00,enter,update,ID1182,Web,complete,clickButton,2019-03-06T01:09:37.634+11:00,address,addA886addB1745,Web,complete,insertValue,2019-03-06T01:09:41.216+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:09:55.531+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:10:19.550+11:00,ID1182,address,addB1745,Web,complete,copy,2019-03-06T01:10:23.626+11:00,paste,A,addB1745,Excel,5,complete,2019-03-06T01:10:35.353+11:00,save,Excel,complete,saveFile,2019-03-06T01:10:39.804+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:10:44.371+11:00
795,Clients,Web,complete,clickButton,2019-03-06T01:10:55.765+11:00,clientID,ID1050,Web,complete,insertValue,2019-03-06T01:11:01.134+11:00,Web,complete,pressKey,2019-03-06T01:11:10.791+11:00,enter,update,ID1050,Web,complete,clickButton,2019-03-06T01:11:14.512+11:00,address,addA1670addB1633,Web,complete,insertValue,2019-03-06T01:11:18.069+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:11:26.541+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:11:36.379+11:00,ID1050,address,addB1633,Web,complete,copy,2019-03-06T01:11:47.044+11:00,paste,A,addB1633,Excel,5,complete,2019-03-06T01:11:58.359+11:00,save,Excel,complete,saveFile,2019-03-06T01:12:02.681+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:12:05.960+11:00
796,Clients,Web,complete,clickButton,2019-03-06T01:12:20.718+11:00,clientID,ID635,Web,complete,insertValue,2019-03-06T01:12:24.244+11:00,Web,complete,pressKey,2019-03-06T01:12:28.584+11:00,enter,update,ID635,Web,complete,clickButton,2019-03-06T01:12:31.621+11:00,address,addA1280addB159,Web,complete,insertValue,2019-03-06T01:12:35.867+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:12:42.210+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:12:54.393+11:00,ID635,address,addB159,Web,complete,copy,2019-03-06T01:13:07.910+11:00,paste,A,addB159,Excel,5,complete,2019-03-06T01:13:11.070+11:00,save,Excel,complete,saveFile,2019-03-06T01:13:15.027+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:13:18.043+11:00
797,Clients,Web,complete,clickButton,2019-03-06T01:13:29.883+11:00,clientID,ID891,Web,complete,insertValue,2019-03-06T01:13:33.774+11:00,Web,complete,pressKey,2019-03-06T01:13:37.812+11:00,enter,update,ID891,Web,complete,clickButton,2019-03-06T01:13:41.312+11:00,address,addA1630addB1324,Web,complete,insertValue,2019-03-06T01:13:44.344+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:13:44.344+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:13:54.283+11:00,ID891,address,addB1324,Web,complete,copy,2019-03-06T01:14:05.648+11:00,paste,A,addB1324,Excel,5,complete,2019-03-06T01:14:09.229+11:00,save,Excel,complete,saveFile,2019-03-06T01:14:12.770+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:14:14.967+11:00
798,Clients,Web,complete,clickButton,2019-03-06T01:14:26.566+11:00,clientID,ID431,Web,complete,insertValue,2019-03-06T01:14:29.265+11:00,Web,complete,pressKey,2019-03-06T01:14:34.952+11:00,enter,update,ID431,Web,complete,clickButton,2019-03-06T01:14:37.625+11:00,address,addA1753addB1086,Web,complete,insertValue,2019-03-06T01:14:39.521+11:00,Country114,country,Web,complete,insertValue,2019-03-06T01:14:57.198+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:15:05.012+11:00,OK,Web,complete,clickButton,2019-03-06T01:15:06.236+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:15:07.641+11:00,,,,,,,,,,,,,,,
799,Clients,Web,complete,clickButton,2019-03-06T01:15:21.810+11:00,clientID,ID1922,Web,complete,insertValue,2019-03-06T01:15:24.534+11:00,Web,complete,pressKey,2019-03-06T01:15:30.224+11:00,enter,update,ID1922,Web,complete,clickButton,2019-03-06T01:15:32.983+11:00,address,addA1867addB682,Web,complete,insertValue,2019-03-06T01:15:34.518+11:00,Country72,country,Web,complete,insertValue,2019-03-06T01:15:42.935+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:15:55.520+11:00,OK,Web,complete,clickButton,2019-03-06T01:15:56.566+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:15:59.204+11:00,,,,,,,,,,,,,,,
800,Clients,Web,complete,clickButton,2019-03-06T01:16:13.242+11:00,clientID,ID305,Web,complete,insertValue,2019-03-06T01:16:16.665+11:00,Web,complete,pressKey,2019-03-06T01:16:16.665+11:00,enter,update,ID305,Web,complete,clickButton,2019-03-06T01:16:19.213+11:00,address,addA1095addB311,Web,complete,insertValue,2019-03-06T01:16:22.621+11:00,Country125,country,Web,complete,insertValue,2019-03-06T01:16:38.398+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:16:47.323+11:00,OK,Web,complete,clickButton,2019-03-06T01:16:51.600+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:16:53.391+11:00,,,,,,,,,,,,,,,
801,Clients,Web,complete,clickButton,2019-03-06T01:17:07.959+11:00,clientID,ID1763,Web,complete,insertValue,2019-03-06T01:17:11.182+11:00,Web,complete,pressKey,2019-03-06T01:17:16.179+11:00,enter,update,ID1763,Web,complete,clickButton,2019-03-06T01:17:18.406+11:00,address,addA262addB1030,Web,complete,insertValue,2019-03-06T01:17:22.511+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:17:27.573+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:17:36.955+11:00,ID1763,address,addB1030,Web,complete,copy,2019-03-06T01:17:41.547+11:00,paste,A,addB1030,Excel,5,complete,2019-03-06T01:17:56.485+11:00,save,Excel,complete,saveFile,2019-03-06T01:17:59.806+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:18:04.194+11:00
802,Clients,Web,complete,clickButton,2019-03-06T01:18:16.660+11:00,clientID,ID1046,Web,complete,insertValue,2019-03-06T01:18:20.205+11:00,Web,complete,pressKey,2019-03-06T01:18:24.625+11:00,enter,update,ID1046,Web,complete,clickButton,2019-03-06T01:18:27.155+11:00,address,addA326addB295,Web,complete,insertValue,2019-03-06T01:18:29.526+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:18:45.255+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:18:48.308+11:00,ID1046,address,addB295,Web,complete,copy,2019-03-06T01:18:55.751+11:00,paste,A,addB295,Excel,5,complete,2019-03-06T01:18:59.478+11:00,save,Excel,complete,saveFile,2019-03-06T01:19:01.453+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:19:02.493+11:00
803,Clients,Web,complete,clickButton,2019-03-06T01:19:15.158+11:00,clientID,ID1535,Web,complete,insertValue,2019-03-06T01:19:19.744+11:00,Web,complete,pressKey,2019-03-06T01:19:30.161+11:00,enter,update,ID1535,Web,complete,clickButton,2019-03-06T01:19:34.461+11:00,address,addA983addB1851,Web,complete,insertValue,2019-03-06T01:19:38.175+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:19:56.111+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:20:01.268+11:00,ID1535,address,addB1851,Web,complete,copy,2019-03-06T01:20:14.917+11:00,paste,A,addB1851,Excel,5,complete,2019-03-06T01:20:17.898+11:00,save,Excel,complete,saveFile,2019-03-06T01:20:20.316+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:20:22.537+11:00
804,Clients,Web,complete,clickButton,2019-03-06T01:20:37.048+11:00,clientID,ID975,Web,complete,insertValue,2019-03-06T01:20:40.916+11:00,Web,complete,pressKey,2019-03-06T01:20:55.304+11:00,enter,update,ID975,Web,complete,clickButton,2019-03-06T01:20:56.836+11:00,address,addA847addB161,Web,complete,insertValue,2019-03-06T01:21:00.759+11:00,Country130,country,Web,complete,insertValue,2019-03-06T01:21:13.670+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:21:24.534+11:00,OK,Web,complete,clickButton,2019-03-06T01:21:27.312+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:21:28.999+11:00,,,,,,,,,,,,,,,
805,Clients,Web,complete,clickButton,2019-03-06T01:21:41.814+11:00,clientID,ID1030,Web,complete,insertValue,2019-03-06T01:21:46.053+11:00,Web,complete,pressKey,2019-03-06T01:21:55.594+11:00,enter,update,ID1030,Web,complete,clickButton,2019-03-06T01:21:58.786+11:00,address,addA363addB609,Web,complete,insertValue,2019-03-06T01:22:03.271+11:00,Country17,country,Web,complete,insertValue,2019-03-06T01:22:05.147+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:22:16.153+11:00,OK,Web,complete,clickButton,2019-03-06T01:22:20.590+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:22:22.328+11:00,,,,,,,,,,,,,,,
806,Clients,Web,complete,clickButton,2019-03-06T01:22:34.323+11:00,clientID,ID131,Web,complete,insertValue,2019-03-06T01:22:37.221+11:00,Web,complete,pressKey,2019-03-06T01:22:49.433+11:00,enter,update,ID131,Web,complete,clickButton,2019-03-06T01:22:52.343+11:00,address,addA1321addB769,Web,complete,insertValue,2019-03-06T01:22:54.034+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:23:05.745+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:23:23.628+11:00,ID131,address,addB769,Web,complete,copy,2019-03-06T01:23:28.063+11:00,paste,A,addB769,Excel,5,complete,2019-03-06T01:23:34.829+11:00,save,Excel,complete,saveFile,2019-03-06T01:23:37.081+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:23:41.071+11:00
807,Clients,Web,complete,clickButton,2019-03-06T01:23:55.586+11:00,clientID,ID1109,Web,complete,insertValue,2019-03-06T01:23:59.416+11:00,Web,complete,pressKey,2019-03-06T01:24:09.036+11:00,enter,update,ID1109,Web,complete,clickButton,2019-03-06T01:24:12.112+11:00,address,addA773addB1778,Web,complete,insertValue,2019-03-06T01:24:15.787+11:00,Country72,country,Web,complete,insertValue,2019-03-06T01:24:24.669+11:00,UnbindFile,Web,complete,clickButton,2019-03-06T01:24:31.621+11:00,OK,Web,complete,clickButton,2019-03-06T01:24:34.927+11:00,Confirm,Web,complete,clickButton,2019-03-06T01:24:36.881+11:00,,,,,,,,,,,,,,,
808,Clients,Web,complete,clickButton,2019-03-06T01:24:49.832+11:00,clientID,ID98,Web,complete,insertValue,2019-03-06T01:24:53.535+11:00,Web,complete,pressKey,2019-03-06T01:24:56.829+11:00,enter,update,ID98,Web,complete,clickButton,2019-03-06T01:24:59.234+11:00,address,addA1018addB997,Web,complete,insertValue,2019-03-06T01:25:03.244+11:00,Australia,country,Web,complete,insertValue,2019-03-06T01:25:10.380+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-06T01:25:25.628+11:00,ID98,address,addB997,Web,complete,copy,2019-03-06T01:25:32.018+11:00,paste,A,addB997,Excel,5,complete,2019-03-06T01:25:46.484+11:00,save,Excel,complete,saveFile,2019-03-06T01:25:47.689+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-06T01:25:50.556+11:00
