Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
768,value1,value505,Web,complete,insertValue,2019-03-05T21:52:56.120+11:00,code,46,Web,complete,insertValue,2019-03-05T21:53:05.544+11:00,B7,Web,complete,clickButton,2019-03-05T21:53:16.085+11:00,open,Web,complete,clickButton,2019-03-05T21:53:19.764+11:00,Excel,complete,openFile,Sheet1,2019-03-05T21:53:21.081+11:00,data123.xls,name1827,Excel,complete,findValue,FALSE,2019-03-05T21:53:24.255+11:00,add,Web,complete,clickButton,2019-03-05T21:53:28.583+11:00,OK,Web,complete,clickButton,2019-03-05T21:53:31.723+11:00,,,,
769,value1,value1034,Web,complete,insertValue,2019-03-05T21:53:41.723+11:00,code,44,Web,complete,insertValue,2019-03-05T21:53:44.604+11:00,B6,Web,complete,clickButton,2019-03-05T21:53:44.604+11:00,open,Web,complete,clickButton,2019-03-05T21:53:48.218+11:00,code,44,Web,complete,copy,2019-03-05T21:53:50.774+11:00,paste,B,name,44,Excel,780,complete,2019-03-05T21:53:54.397+11:00,add,Web,complete,clickButton,2019-03-05T21:53:56.844+11:00,OK,Web,complete,clickButton,2019-03-05T21:53:59.258+11:00,,
770,value1,value318,Web,complete,insertValue,2019-03-05T21:54:09.258+11:00,code,29,Web,complete,insertValue,2019-03-05T21:54:14.727+11:00,B6,Web,complete,clickButton,2019-03-05T21:54:17.321+11:00,Web,complete,goToUrl,2019-03-05T21:54:18.696+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T21:54:24.153+11:00,Excel,complete,openFile,Sheet1,2019-03-05T21:54:27.379+11:00,data123.xls,code,29,Web,complete,copy,2019-03-05T21:54:30.531+11:00,paste,B,name,29,Excel,107,complete,2019-03-05T21:54:32.249+11:00,cancel
771,value1,value1596,Web,complete,insertValue,2019-03-05T21:54:47.848+11:00,code,26,Web,complete,insertValue,2019-03-05T21:54:54.303+11:00,B7,Web,complete,clickButton,2019-03-05T21:54:59.258+11:00,open,Web,complete,clickButton,2019-03-05T21:55:02.723+11:00,Excel,complete,openFile,Sheet1,2019-03-05T21:55:04.786+11:00,data123.xls,name21,Excel,complete,findValue,TRUE,2019-03-05T21:55:05.884+11:00,add,Web,complete,clickButton,2019-03-05T21:55:07.924+11:00,OK,Web,complete,clickButton,2019-03-05T21:55:09.705+11:00,,,,
772,value1,value1225,Web,complete,insertValue,2019-03-05T21:55:19.705+11:00,code,20,Web,complete,insertValue,2019-03-05T21:55:21.986+11:00,B7,Web,complete,clickButton,2019-03-05T21:55:30.402+11:00,open,Web,complete,clickButton,2019-03-05T21:55:33.014+11:00,code,20,Web,complete,copy,2019-03-05T21:55:36.834+11:00,paste,B,name,20,Excel,220,complete,2019-03-05T21:55:39.996+11:00,cancel,Web,complete,clickButton,2019-03-05T21:55:43.952+11:00,OK,Web,complete,clickButton,2019-03-05T21:55:45.753+11:00,,
773,value1,value1256,Web,complete,insertValue,2019-03-05T21:55:55.753+11:00,code,21,Web,complete,insertValue,2019-03-05T21:56:08.044+11:00,B7,Web,complete,clickButton,2019-03-05T21:56:20.146+11:00,open,Web,complete,clickButton,2019-03-05T21:56:23.327+11:00,code,21,Web,complete,copy,2019-03-05T21:56:25.690+11:00,paste,B,name,21,Excel,918,complete,2019-03-05T21:56:29.487+11:00,Web,complete,goToUrl,2019-03-05T21:56:32.705+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T21:56:35.391+11:00,,
774,value1,value720,Web,complete,insertValue,2019-03-05T21:56:45.391+11:00,code,26,Web,complete,insertValue,2019-03-05T21:56:52.884+11:00,B7,Web,complete,clickButton,2019-03-05T21:57:07.535+11:00,Web,complete,goToUrl,2019-03-05T21:57:09.115+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T21:57:19.957+11:00,code,26,Web,complete,copy,2019-03-05T21:57:22.930+11:00,paste,B,name,26,Excel,592,complete,2019-03-05T21:57:26.614+11:00,cancel,Web,complete,clickButton,2019-03-05T21:57:29.570+11:00,OK,Web
775,value1,value1762,Web,complete,insertValue,2019-03-05T21:57:41.899+11:00,code,25,Web,complete,insertValue,2019-03-05T21:57:51.911+11:00,B7,Web,complete,clickButton,2019-03-05T21:57:51.911+11:00,Web,complete,goToUrl,2019-03-05T21:57:55.539+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T21:58:01.162+11:00,code,25,Web,complete,copy,2019-03-05T21:58:03.300+11:00,paste,B,name,25,Excel,707,complete,2019-03-05T21:58:07.422+11:00,Web,complete,goToUrl,2019-03-05T21:58:12.210+11:00,www.webpage.com,OK,Web
776,value1,value1348,Web,complete,insertValue,2019-03-05T21:58:23.937+11:00,code,28,Web,complete,insertValue,2019-03-05T21:58:32.313+11:00,B7,Web,complete,clickButton,2019-03-05T21:58:39.285+11:00,Web,complete,goToUrl,2019-03-05T21:58:45.022+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T21:58:54.501+11:00,code,28,Web,complete,copy,2019-03-05T21:58:58.666+11:00,paste,B,name,28,Excel,235,complete,2019-03-05T21:59:00.611+11:00,add,Web,complete,clickButton,2019-03-05T21:59:00.987+11:00,OK,Web
777,value1,value1967,Web,complete,insertValue,2019-03-05T21:59:14.559+11:00,code,30,Web,complete,insertValue,2019-03-05T21:59:22.398+11:00,B7,Web,complete,clickButton,2019-03-05T21:59:28.811+11:00,open,Web,complete,clickButton,2019-03-05T21:59:32.001+11:00,code,30,Web,complete,copy,2019-03-05T21:59:34.467+11:00,paste,B,name,30,Excel,1364,complete,2019-03-05T21:59:37.068+11:00,cancel,Web,complete,clickButton,2019-03-05T21:59:41.621+11:00,OK,Web,complete,clickButton,2019-03-05T21:59:45.501+11:00,,
778,value1,value1645,Web,complete,insertValue,2019-03-05T21:59:55.501+11:00,code,26,Web,complete,insertValue,2019-03-05T22:00:00.312+11:00,B7,Web,complete,clickButton,2019-03-05T22:00:10.440+11:00,open,Web,complete,clickButton,2019-03-05T22:00:14.002+11:00,code,26,Web,complete,copy,2019-03-05T22:00:18.089+11:00,paste,B,name,26,Excel,1849,complete,2019-03-05T22:00:21.149+11:00,Web,complete,goToUrl,2019-03-05T22:00:23.636+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:00:35.240+11:00,,
779,value1,value855,Web,complete,insertValue,2019-03-05T22:00:45.240+11:00,code,28,Web,complete,insertValue,2019-03-05T22:00:51.499+11:00,B6,Web,complete,clickButton,2019-03-05T22:01:00.568+11:00,Web,complete,goToUrl,2019-03-05T22:01:03.304+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:01:18.185+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:01:22.788+11:00,data123.xls,name200,Excel,complete,findValue,TRUE,2019-03-05T22:01:25.631+11:00,add,Web,complete,clickButton,2019-03-05T22:01:29.758+11:00,OK,Web,complete,clickButton
780,value1,value366,Web,complete,insertValue,2019-03-05T22:01:42.573+11:00,code,22,Web,complete,insertValue,2019-03-05T22:01:43.293+11:00,B6,Web,complete,clickButton,2019-03-05T22:01:45.798+11:00,Web,complete,goToUrl,2019-03-05T22:01:49.047+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:01:57.516+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:02:01.068+11:00,data123.xls,code,22,Web,complete,copy,2019-03-05T22:02:03.661+11:00,paste,B,name,22,Excel,303,complete,2019-03-05T22:02:07.124+11:00,cancel
781,value1,value1249,Web,complete,insertValue,2019-03-05T22:02:23.261+11:00,code,50,Web,complete,insertValue,2019-03-05T22:02:36.824+11:00,B6,Web,complete,clickButton,2019-03-05T22:02:45.195+11:00,Web,complete,goToUrl,2019-03-05T22:02:47.360+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:02:51.270+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:02:53.955+11:00,data123.xls,code,50,Web,complete,copy,2019-03-05T22:02:55.845+11:00,paste,B,name,50,Excel,1362,complete,2019-03-05T22:02:58.607+11:00,Web
782,value1,value496,Web,complete,insertValue,2019-03-05T22:03:16.542+11:00,code,24,Web,complete,insertValue,2019-03-05T22:03:20.827+11:00,B6,Web,complete,clickButton,2019-03-05T22:03:23.308+11:00,open,Web,complete,clickButton,2019-03-05T22:03:25.201+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:03:29.773+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T22:03:32.273+11:00,paste,B,name,24,Excel,870,complete,2019-03-05T22:03:35.227+11:00,Web,complete,goToUrl,2019-03-05T22:03:38.420+11:00,www.webpage.com,OK
783,value1,value1455,Web,complete,insertValue,2019-03-05T22:03:54.810+11:00,code,23,Web,complete,insertValue,2019-03-05T22:03:54.810+11:00,B6,Web,complete,clickButton,2019-03-05T22:03:54.927+11:00,open,Web,complete,clickButton,2019-03-05T22:03:58.925+11:00,code,23,Web,complete,copy,2019-03-05T22:04:02.888+11:00,paste,B,name,23,Excel,1606,complete,2019-03-05T22:04:05.789+11:00,add,Web,complete,clickButton,2019-03-05T22:04:10.853+11:00,OK,Web,complete,clickButton,2019-03-05T22:04:14.421+11:00,,
784,value1,value1992,Web,complete,insertValue,2019-03-05T22:04:24.421+11:00,code,46,Web,complete,insertValue,2019-03-05T22:04:36.966+11:00,B7,Web,complete,clickButton,2019-03-05T22:04:39.721+11:00,Web,complete,goToUrl,2019-03-05T22:04:43.143+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:04:43.143+11:00,code,46,Web,complete,copy,2019-03-05T22:04:48.194+11:00,paste,B,name,46,Excel,1,complete,2019-03-05T22:04:51.474+11:00,add,Web,complete,clickButton,2019-03-05T22:04:54.375+11:00,OK,Web
785,value1,value1842,Web,complete,insertValue,2019-03-05T22:05:08.133+11:00,code,26,Web,complete,insertValue,2019-03-05T22:05:12.129+11:00,B7,Web,complete,clickButton,2019-03-05T22:05:19.376+11:00,Web,complete,goToUrl,2019-03-05T22:05:22.649+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:05:22.649+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:05:26.730+11:00,data123.xls,name707,Excel,complete,findValue,FALSE,2019-03-05T22:05:29.987+11:00,cancel,Web,complete,clickButton,2019-03-05T22:05:35.650+11:00,OK,Web,complete,clickButton
786,value1,value1510,Web,complete,insertValue,2019-03-05T22:05:49.154+11:00,code,18,Web,complete,insertValue,2019-03-05T22:06:01.126+11:00,B6,Web,complete,clickButton,2019-03-05T22:06:04.464+11:00,Web,complete,goToUrl,2019-03-05T22:06:07.647+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:06:08.353+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:06:11.447+11:00,data123.xls,name1078,Excel,complete,findValue,TRUE,2019-03-05T22:06:14.269+11:00,add,Web,complete,clickButton,2019-03-05T22:06:15.886+11:00,OK,Web,complete,clickButton
787,value1,value424,Web,complete,insertValue,2019-03-05T22:06:29.994+11:00,code,32,Web,complete,insertValue,2019-03-05T22:06:45.784+11:00,B7,Web,complete,clickButton,2019-03-05T22:06:47.141+11:00,open,Web,complete,clickButton,2019-03-05T22:06:49.523+11:00,code,32,Web,complete,copy,2019-03-05T22:06:53.213+11:00,paste,B,name,32,Excel,469,complete,2019-03-05T22:06:55.944+11:00,Web,complete,goToUrl,2019-03-05T22:06:57.776+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:07:00.450+11:00,,
788,value1,value929,Web,complete,insertValue,2019-03-05T22:07:10.450+11:00,code,28,Web,complete,insertValue,2019-03-05T22:07:23.299+11:00,B6,Web,complete,clickButton,2019-03-05T22:07:31.812+11:00,Web,complete,goToUrl,2019-03-05T22:07:34.511+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:07:42.061+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:07:43.399+11:00,data123.xls,name443,Excel,complete,findValue,TRUE,2019-03-05T22:07:46.510+11:00,add,Web,complete,clickButton,2019-03-05T22:07:48.022+11:00,OK,Web,complete,clickButton
789,value1,value1855,Web,complete,insertValue,2019-03-05T22:07:59.198+11:00,code,25,Web,complete,insertValue,2019-03-05T22:08:05.830+11:00,B7,Web,complete,clickButton,2019-03-05T22:08:05.830+11:00,Web,complete,goToUrl,2019-03-05T22:08:08.127+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:08:09.067+11:00,code,25,Web,complete,copy,2019-03-05T22:08:12.506+11:00,paste,B,name,25,Excel,1297,complete,2019-03-05T22:08:16.717+11:00,Web,complete,goToUrl,2019-03-05T22:08:19.588+11:00,www.webpage.com,OK,Web
790,value1,value1860,Web,complete,insertValue,2019-03-05T22:08:32.499+11:00,code,41,Web,complete,insertValue,2019-03-05T22:08:43.722+11:00,B6,Web,complete,clickButton,2019-03-05T22:08:48.089+11:00,open,Web,complete,clickButton,2019-03-05T22:08:52.886+11:00,code,41,Web,complete,copy,2019-03-05T22:08:55.233+11:00,paste,B,name,41,Excel,80,complete,2019-03-05T22:08:57.917+11:00,add,Web,complete,clickButton,2019-03-05T22:09:01.229+11:00,OK,Web,complete,clickButton,2019-03-05T22:09:02.828+11:00,,
791,value1,value393,Web,complete,insertValue,2019-03-05T22:09:12.828+11:00,code,25,Web,complete,insertValue,2019-03-05T22:09:17.980+11:00,B6,Web,complete,clickButton,2019-03-05T22:09:30.173+11:00,open,Web,complete,clickButton,2019-03-05T22:09:32.961+11:00,code,25,Web,complete,copy,2019-03-05T22:09:35.207+11:00,paste,B,name,25,Excel,1309,complete,2019-03-05T22:09:39.460+11:00,cancel,Web,complete,clickButton,2019-03-05T22:09:42.822+11:00,OK,Web,complete,clickButton,2019-03-05T22:09:46.026+11:00,,
792,value1,value133,Web,complete,insertValue,2019-03-05T22:09:56.026+11:00,code,23,Web,complete,insertValue,2019-03-05T22:10:08.361+11:00,B7,Web,complete,clickButton,2019-03-05T22:10:18.450+11:00,open,Web,complete,clickButton,2019-03-05T22:10:20.814+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:10:22.573+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T22:10:25.403+11:00,paste,B,name,23,Excel,520,complete,2019-03-05T22:10:28.345+11:00,add,Web,complete,clickButton,2019-03-05T22:10:30.366+11:00,OK
793,value1,value1546,Web,complete,insertValue,2019-03-05T22:10:43.731+11:00,code,20,Web,complete,insertValue,2019-03-05T22:10:49.897+11:00,B6,Web,complete,clickButton,2019-03-05T22:10:52.700+11:00,Web,complete,goToUrl,2019-03-05T22:10:55.864+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:11:15.741+11:00,code,20,Web,complete,copy,2019-03-05T22:11:18.595+11:00,paste,B,name,20,Excel,669,complete,2019-03-05T22:11:22.225+11:00,cancel,Web,complete,clickButton,2019-03-05T22:11:26.343+11:00,OK,Web
794,value1,value316,Web,complete,insertValue,2019-03-05T22:11:41.482+11:00,code,25,Web,complete,insertValue,2019-03-05T22:11:51.102+11:00,B6,Web,complete,clickButton,2019-03-05T22:11:59.686+11:00,open,Web,complete,clickButton,2019-03-05T22:12:01.399+11:00,code,25,Web,complete,copy,2019-03-05T22:12:04.827+11:00,paste,B,name,25,Excel,1848,complete,2019-03-05T22:12:07.915+11:00,cancel,Web,complete,clickButton,2019-03-05T22:12:11.792+11:00,OK,Web,complete,clickButton,2019-03-05T22:12:16.650+11:00,,
795,value1,value1567,Web,complete,insertValue,2019-03-05T22:12:26.650+11:00,code,26,Web,complete,insertValue,2019-03-05T22:12:46.760+11:00,B7,Web,complete,clickButton,2019-03-05T22:12:53.190+11:00,open,Web,complete,clickButton,2019-03-05T22:12:56.888+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:12:59.991+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T22:13:02.570+11:00,paste,B,name,26,Excel,1682,complete,2019-03-05T22:13:05.048+11:00,Web,complete,goToUrl,2019-03-05T22:13:06.742+11:00,www.webpage.com,OK
796,value1,value1482,Web,complete,insertValue,2019-03-05T22:13:24.518+11:00,code,19,Web,complete,insertValue,2019-03-05T22:13:41.237+11:00,B7,Web,complete,clickButton,2019-03-05T22:13:49.851+11:00,open,Web,complete,clickButton,2019-03-05T22:13:53.663+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:13:54.205+11:00,data123.xls,name1677,Excel,complete,findValue,TRUE,2019-03-05T22:13:57.250+11:00,Web,complete,goToUrl,2019-03-05T22:14:00.186+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:14:00.186+11:00,,,,
797,value1,value542,Web,complete,insertValue,2019-03-05T22:14:10.186+11:00,code,23,Web,complete,insertValue,2019-03-05T22:14:20.345+11:00,B6,Web,complete,clickButton,2019-03-05T22:14:29.809+11:00,Web,complete,goToUrl,2019-03-05T22:14:31.843+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:14:45.613+11:00,code,23,Web,complete,copy,2019-03-05T22:14:46.160+11:00,paste,B,name,23,Excel,1064,complete,2019-03-05T22:14:48.426+11:00,cancel,Web,complete,clickButton,2019-03-05T22:14:49.936+11:00,OK,Web
798,value1,value352,Web,complete,insertValue,2019-03-05T22:15:02.328+11:00,code,25,Web,complete,insertValue,2019-03-05T22:15:13.231+11:00,B6,Web,complete,clickButton,2019-03-05T22:15:19.147+11:00,Web,complete,goToUrl,2019-03-05T22:15:21.502+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:15:36.816+11:00,code,25,Web,complete,copy,2019-03-05T22:15:41.100+11:00,paste,B,name,25,Excel,1584,complete,2019-03-05T22:15:43.519+11:00,cancel,Web,complete,clickButton,2019-03-05T22:15:46.112+11:00,OK,Web
799,value1,value813,Web,complete,insertValue,2019-03-05T22:16:00.130+11:00,code,18,Web,complete,insertValue,2019-03-05T22:16:10.825+11:00,B6,Web,complete,clickButton,2019-03-05T22:16:24.552+11:00,open,Web,complete,clickButton,2019-03-05T22:16:27.558+11:00,code,18,Web,complete,copy,2019-03-05T22:16:29.838+11:00,paste,B,name,18,Excel,158,complete,2019-03-05T22:16:33.125+11:00,add,Web,complete,clickButton,2019-03-05T22:16:36.231+11:00,OK,Web,complete,clickButton,2019-03-05T22:16:39.326+11:00,,
800,value1,value1739,Web,complete,insertValue,2019-03-05T22:16:49.326+11:00,code,24,Web,complete,insertValue,2019-03-05T22:16:55.456+11:00,B7,Web,complete,clickButton,2019-03-05T22:17:06.447+11:00,Web,complete,goToUrl,2019-03-05T22:17:09.133+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:17:20.849+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:17:24.717+11:00,data123.xls,code,24,Web,complete,copy,2019-03-05T22:17:26.991+11:00,paste,B,name,24,Excel,649,complete,2019-03-05T22:17:30.266+11:00,add
801,value1,value792,Web,complete,insertValue,2019-03-05T22:17:46.811+11:00,code,27,Web,complete,insertValue,2019-03-05T22:17:52.164+11:00,B6,Web,complete,clickButton,2019-03-05T22:17:58.335+11:00,open,Web,complete,clickButton,2019-03-05T22:18:02.132+11:00,code,27,Web,complete,copy,2019-03-05T22:18:03.896+11:00,paste,B,name,27,Excel,1147,complete,2019-03-05T22:18:08.058+11:00,Web,complete,goToUrl,2019-03-05T22:18:11.367+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:18:12.003+11:00,,
802,value1,value764,Web,complete,insertValue,2019-03-05T22:18:22.003+11:00,code,24,Web,complete,insertValue,2019-03-05T22:18:26.392+11:00,B6,Web,complete,clickButton,2019-03-05T22:18:39.297+11:00,open,Web,complete,clickButton,2019-03-05T22:18:42.311+11:00,code,24,Web,complete,copy,2019-03-05T22:18:43.764+11:00,paste,B,name,24,Excel,1300,complete,2019-03-05T22:18:47.037+11:00,cancel,Web,complete,clickButton,2019-03-05T22:18:50.796+11:00,OK,Web,complete,clickButton,2019-03-05T22:18:54.496+11:00,,
803,value1,value106,Web,complete,insertValue,2019-03-05T22:19:04.496+11:00,code,30,Web,complete,insertValue,2019-03-05T22:19:16.673+11:00,B7,Web,complete,clickButton,2019-03-05T22:19:25.553+11:00,open,Web,complete,clickButton,2019-03-05T22:19:28.917+11:00,code,30,Web,complete,copy,2019-03-05T22:19:30.867+11:00,paste,B,name,30,Excel,882,complete,2019-03-05T22:19:32.406+11:00,add,Web,complete,clickButton,2019-03-05T22:19:36.326+11:00,OK,Web,complete,clickButton,2019-03-05T22:19:37.961+11:00,,
804,value1,value952,Web,complete,insertValue,2019-03-05T22:19:47.961+11:00,code,23,Web,complete,insertValue,2019-03-05T22:19:54.729+11:00,B6,Web,complete,clickButton,2019-03-05T22:20:05.083+11:00,Web,complete,goToUrl,2019-03-05T22:20:09.304+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:20:26.960+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:20:30.474+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T22:20:32.330+11:00,paste,B,name,23,Excel,527,complete,2019-03-05T22:20:34.783+11:00,Web
805,value1,value1865,Web,complete,insertValue,2019-03-05T22:20:57.576+11:00,code,22,Web,complete,insertValue,2019-03-05T22:20:57.576+11:00,B6,Web,complete,clickButton,2019-03-05T22:21:08.539+11:00,open,Web,complete,clickButton,2019-03-05T22:21:12.268+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:21:14.739+11:00,data123.xls,name406,Excel,complete,findValue,FALSE,2019-03-05T22:21:18.283+11:00,Web,complete,goToUrl,2019-03-05T22:21:21.238+11:00,www.webpage.com,OK,Web,complete,clickButton,2019-03-05T22:21:30.458+11:00,,,,
806,value1,value469,Web,complete,insertValue,2019-03-05T22:21:40.458+11:00,code,36,Web,complete,insertValue,2019-03-05T22:21:45.618+11:00,B6,Web,complete,clickButton,2019-03-05T22:21:51.164+11:00,Web,complete,goToUrl,2019-03-05T22:21:54.259+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:21:57.789+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:22:00.017+11:00,data123.xls,name315,Excel,complete,findValue,TRUE,2019-03-05T22:22:02.023+11:00,cancel,Web,complete,clickButton,2019-03-05T22:22:04.225+11:00,OK,Web,complete,clickButton
807,value1,value1663,Web,complete,insertValue,2019-03-05T22:22:18.134+11:00,code,21,Web,complete,insertValue,2019-03-05T22:22:24.633+11:00,B7,Web,complete,clickButton,2019-03-05T22:22:28.817+11:00,open,Web,complete,clickButton,2019-03-05T22:22:30.453+11:00,code,21,Web,complete,copy,2019-03-05T22:22:32.823+11:00,paste,B,name,21,Excel,832,complete,2019-03-05T22:22:37.303+11:00,add,Web,complete,clickButton,2019-03-05T22:22:41.132+11:00,OK,Web,complete,clickButton,2019-03-05T22:22:42.049+11:00,,
808,value1,value1220,Web,complete,insertValue,2019-03-05T22:22:52.049+11:00,code,28,Web,complete,insertValue,2019-03-05T22:22:58.176+11:00,B6,Web,complete,clickButton,2019-03-05T22:23:12.432+11:00,Web,complete,goToUrl,2019-03-05T22:23:15.137+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:23:24.398+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:23:28.138+11:00,data123.xls,name1153,Excel,complete,findValue,FALSE,2019-03-05T22:23:30.954+11:00,add,Web,complete,clickButton,2019-03-05T22:23:33.308+11:00,OK,Web,complete,clickButton
809,value1,value1255,Web,complete,insertValue,2019-03-05T22:23:46.254+11:00,code,40,Web,complete,insertValue,2019-03-05T22:23:53.517+11:00,B6,Web,complete,clickButton,2019-03-05T22:24:03.135+11:00,Web,complete,goToUrl,2019-03-05T22:24:06.421+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:24:23.012+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:24:25.181+11:00,data123.xls,code,40,Web,complete,copy,2019-03-05T22:24:28.049+11:00,paste,B,name,40,Excel,1713,complete,2019-03-05T22:24:31.805+11:00,add
810,value1,value1293,Web,complete,insertValue,2019-03-05T22:24:48.742+11:00,code,23,Web,complete,insertValue,2019-03-05T22:25:01.375+11:00,B7,Web,complete,clickButton,2019-03-05T22:25:02.588+11:00,open,Web,complete,clickButton,2019-03-05T22:25:05.839+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:25:07.771+11:00,data123.xls,code,23,Web,complete,copy,2019-03-05T22:25:10.663+11:00,paste,B,name,23,Excel,1542,complete,2019-03-05T22:25:14.730+11:00,add,Web,complete,clickButton,2019-03-05T22:25:14.730+11:00,OK
811,value1,value519,Web,complete,insertValue,2019-03-05T22:25:27.744+11:00,code,18,Web,complete,insertValue,2019-03-05T22:25:31.519+11:00,B6,Web,complete,clickButton,2019-03-05T22:25:47.102+11:00,Web,complete,goToUrl,2019-03-05T22:25:49.476+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:26:00.079+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:26:03.429+11:00,data123.xls,code,18,Web,complete,copy,2019-03-05T22:26:06.663+11:00,paste,B,name,18,Excel,1517,complete,2019-03-05T22:26:09.241+11:00,add
812,value1,value1820,Web,complete,insertValue,2019-03-05T22:26:27.398+11:00,code,26,Web,complete,insertValue,2019-03-05T22:26:35.128+11:00,B7,Web,complete,clickButton,2019-03-05T22:26:41.542+11:00,Web,complete,goToUrl,2019-03-05T22:26:45.727+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:27:00.251+11:00,Excel,complete,openFile,Sheet1,2019-03-05T22:27:01.512+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T22:27:04.409+11:00,paste,B,name,26,Excel,1085,complete,2019-03-05T22:27:07.453+11:00,add
813,value1,value1105,Web,complete,insertValue,2019-03-05T22:27:22.595+11:00,code,39,Web,complete,insertValue,2019-03-05T22:27:33.320+11:00,B7,Web,complete,clickButton,2019-03-05T22:27:33.953+11:00,Web,complete,goToUrl,2019-03-05T22:27:37.465+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T22:27:56.889+11:00,code,39,Web,complete,copy,2019-03-05T22:27:59.006+11:00,paste,B,name,39,Excel,895,complete,2019-03-05T22:28:01.405+11:00,add,Web,complete,clickButton,2019-03-05T22:28:05.146+11:00,OK,Web
814,value1,value878,Web,complete,insertValue,2019-03-05T22:28:19.549+11:00,code,50,Web,complete,insertValue,2019-03-05T22:28:31.209+11:00,B6,Web,complete,clickButton,2019-03-05T22:28:40.576+11:00,open,Web,complete,clickButton,2019-03-05T22:28:44.558+11:00,code,50,Web,complete,copy,2019-03-05T22:28:48.754+11:00,paste,B,name,50,Excel,198,complete,2019-03-05T22:28:53.201+11:00,add,Web,complete,clickButton,2019-03-05T22:28:56.327+11:00,OK,Web,complete,clickButton,2019-03-05T22:28:59.694+11:00,,
