Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
1591,name,name3234,Web,complete,insertValue,2019-03-09T00:40:22.955+11:00,surname,surname3234,Web,complete,insertValue,2019-03-09T00:40:22.955+11:00,age,age20,Web,complete,insertValue,2019-03-09T00:40:35.006+11:00,T1,type,Web,complete,insertValue,2019-03-09T00:40:45.775+11:00,confirm,Web,complete,clickButton,2019-03-09T00:40:49.656+11:00,B1,Web,complete,clickButton,2019-03-09T00:40:52.787+11:00,name,name3234,Web,complete,copy,2019-03-09T00:40:55.632+11:00,paste,B,name,name3234,Excel,1,complete,2019-03-09T00:40:58.768+11:00,surname,surname3234,Web,complete,copy,2019-03-09T00:41:00.616+11:00,paste,B,surname,surname3234,Excel,1,complete,2019-03-09T00:41:04.432+11:00,add,Web,complete
1592,name,name1222,Web,complete,insertValue,2019-03-09T00:41:22.324+11:00,surname,surname1222,Web,complete,insertValue,2019-03-09T00:41:33.787+11:00,age,age27,Web,complete,insertValue,2019-03-09T00:41:39.744+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:41:48.465+11:00,confirm,Web,complete,clickButton,2019-03-09T00:41:57.689+11:00,B4,Web,complete,clickButton,2019-03-09T00:42:01.439+11:00,Clients,Web,complete,clickButton,2019-03-09T00:42:05.093+11:00,clientID,ID1222,Web,complete,insertValue,2019-03-09T00:42:07.211+11:00,Web,complete,pressKey,2019-03-09T00:42:18.282+11:00,enter,update,ID1222,Web,complete,clickButton,2019-03-09T00:42:20.850+11:00,address,addA315addB2111,Web,complete,insertValue,2019-03-09T00:42:24.084+11:00,Australia,country,Web
1593,name,name2412,Web,complete,insertValue,2019-03-09T00:43:33.240+11:00,surname,surname2412,Web,complete,insertValue,2019-03-09T00:43:46.206+11:00,age,age43,Web,complete,insertValue,2019-03-09T00:43:54.107+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:43:59.573+11:00,confirm,Web,complete,clickButton,2019-03-09T00:44:10.697+11:00,B4,Web,complete,clickButton,2019-03-09T00:44:13.836+11:00,Clients,Web,complete,clickButton,2019-03-09T00:44:18.959+11:00,clientID,ID2412,Web,complete,insertValue,2019-03-09T00:44:21.646+11:00,Web,complete,pressKey,2019-03-09T00:44:21.646+11:00,enter,update,ID2412,Web,complete,clickButton,2019-03-09T00:44:22.939+11:00,address,addA689addB2666,Web,complete,insertValue,2019-03-09T00:44:27.204+11:00,Country78,country,Web
1594,name,name1923,Web,complete,insertValue,2019-03-09T00:44:55.387+11:00,surname,surname1923,Web,complete,insertValue,2019-03-09T00:45:08.273+11:00,age,age40,Web,complete,insertValue,2019-03-09T00:45:19.936+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:45:30.395+11:00,confirm,Web,complete,clickButton,2019-03-09T00:45:42.749+11:00,B4,Web,complete,clickButton,2019-03-09T00:45:46.147+11:00,Clients,Web,complete,clickButton,2019-03-09T00:45:50.079+11:00,clientID,ID1923,Web,complete,insertValue,2019-03-09T00:45:52.976+11:00,Web,complete,pressKey,2019-03-09T00:46:03.022+11:00,enter,update,ID1923,Web,complete,clickButton,2019-03-09T00:46:05.741+11:00,address,addA3291addB996,Web,complete,insertValue,2019-03-09T00:46:08.753+11:00,Country61,country,Web
1595,name,name34,Web,complete,insertValue,2019-03-09T00:46:50.238+11:00,surname,surname34,Web,complete,insertValue,2019-03-09T00:46:57.715+11:00,age,age19,Web,complete,insertValue,2019-03-09T00:47:04.068+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:47:04.812+11:00,confirm,Web,complete,clickButton,2019-03-09T00:47:08.217+11:00,B4,Web,complete,clickButton,2019-03-09T00:47:11.322+11:00,Clients,Web,complete,clickButton,2019-03-09T00:47:13.928+11:00,clientID,ID34,Web,complete,insertValue,2019-03-09T00:47:17.649+11:00,Web,complete,pressKey,2019-03-09T00:47:37.806+11:00,enter,update,ID34,Web,complete,clickButton,2019-03-09T00:47:40.325+11:00,address,addA2851addB213,Web,complete,insertValue,2019-03-09T00:47:41.643+11:00,Country160,country,Web
1596,name,name763,Web,complete,insertValue,2019-03-09T00:48:30.800+11:00,surname,surname763,Web,complete,insertValue,2019-03-09T00:48:45.454+11:00,age,age25,Web,complete,insertValue,2019-03-09T00:48:52.701+11:00,T1,type,Web,complete,insertValue,2019-03-09T00:48:57.657+11:00,confirm,Web,complete,clickButton,2019-03-09T00:48:57.657+11:00,B1,Web,complete,clickButton,2019-03-09T00:49:01.973+11:00,name,name763,Web,complete,copy,2019-03-09T00:49:04.014+11:00,paste,B,name,name763,Excel,1,complete,2019-03-09T00:49:08.601+11:00,surname,surname763,Web,complete,copy,2019-03-09T00:49:11.967+11:00,paste,B,surname,surname763,Excel,1,complete,2019-03-09T00:49:13.862+11:00,add,Web,complete
1597,name,name2740,Web,complete,insertValue,2019-03-09T00:49:31.240+11:00,surname,surname2740,Web,complete,insertValue,2019-03-09T00:49:35.529+11:00,age,age19,Web,complete,insertValue,2019-03-09T00:49:37.554+11:00,T4,type,Web,complete,insertValue,2019-03-09T00:49:52.188+11:00,confirm,Web,complete,clickButton,2019-03-09T00:50:04.464+11:00,B5,Web,complete,clickButton,2019-03-09T00:50:07.495+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T00:50:11.925+11:00,Button6,Web,complete,clickButton,2019-03-09T00:50:16.080+11:00,Excel,complete,openFile,Sheet1,2019-03-09T00:50:20.078+11:00,data.xls,copy,B,value86,Excel,16,complete,2019-03-09T00:50:23.873+11:00,Special code,value86,Web,complete,paste,2019-03-09T00:50:26.150+11:00,Country
1598,name,name1006,Web,complete,insertValue,2019-03-09T00:50:51.558+11:00,surname,surname1006,Web,complete,insertValue,2019-03-09T00:50:57.361+11:00,age,age20,Web,complete,insertValue,2019-03-09T00:51:02.613+11:00,T2,type,Web,complete,insertValue,2019-03-09T00:51:11.230+11:00,confirm,Web,complete,clickButton,2019-03-09T00:51:29.415+11:00,B3,Web,complete,clickButton,2019-03-09T00:51:34.101+11:00,Button6,Web,complete,clickButton,2019-03-09T00:51:35.892+11:00,Excel,complete,openFile,Sheet1,2019-03-09T00:51:39.576+11:00,data.xls,copy,A,value866,Excel,43,complete,2019-03-09T00:51:46.364+11:00,Special code,value866,Web,complete,paste,2019-03-09T00:51:50.062+11:00,OK,Web,complete,clickButton,2019-03-09T00:51:53.526+11:00,,
1599,name,name2760,Web,complete,insertValue,2019-03-09T00:52:03.526+11:00,surname,surname2760,Web,complete,insertValue,2019-03-09T00:52:21.222+11:00,age,age25,Web,complete,insertValue,2019-03-09T00:52:27.664+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:52:33.593+11:00,confirm,Web,complete,clickButton,2019-03-09T00:52:46.413+11:00,B4,Web,complete,clickButton,2019-03-09T00:52:50.376+11:00,Clients,Web,complete,clickButton,2019-03-09T00:52:53.127+11:00,clientID,ID2760,Web,complete,insertValue,2019-03-09T00:52:55.758+11:00,Web,complete,pressKey,2019-03-09T00:52:58.321+11:00,enter,update,ID2760,Web,complete,clickButton,2019-03-09T00:53:01.412+11:00,address,addA292addB3846,Web,complete,insertValue,2019-03-09T00:53:04.093+11:00,Australia,country,Web
1600,name,name2620,Web,complete,insertValue,2019-03-09T00:54:07.470+11:00,surname,surname2620,Web,complete,insertValue,2019-03-09T00:54:11.385+11:00,age,age18,Web,complete,insertValue,2019-03-09T00:54:20.063+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:54:27.652+11:00,confirm,Web,complete,clickButton,2019-03-09T00:54:39.898+11:00,B4,Web,complete,clickButton,2019-03-09T00:54:43.038+11:00,Clients,Web,complete,clickButton,2019-03-09T00:54:46.281+11:00,clientID,ID2620,Web,complete,insertValue,2019-03-09T00:54:50.297+11:00,Web,complete,pressKey,2019-03-09T00:55:07.771+11:00,enter,update,ID2620,Web,complete,clickButton,2019-03-09T00:55:10.544+11:00,address,addA1113addB2798,Web,complete,insertValue,2019-03-09T00:55:13.265+11:00,Country184,country,Web
1601,name,name1560,Web,complete,insertValue,2019-03-09T00:55:51.836+11:00,surname,surname1560,Web,complete,insertValue,2019-03-09T00:55:55.972+11:00,age,age28,Web,complete,insertValue,2019-03-09T00:55:55.972+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:56:03.634+11:00,confirm,Web,complete,clickButton,2019-03-09T00:56:10.138+11:00,B4,Web,complete,clickButton,2019-03-09T00:56:14.623+11:00,Clients,Web,complete,clickButton,2019-03-09T00:56:16.973+11:00,clientID,ID1560,Web,complete,insertValue,2019-03-09T00:56:20.364+11:00,Web,complete,pressKey,2019-03-09T00:56:28.103+11:00,enter,update,ID1560,Web,complete,clickButton,2019-03-09T00:56:31.451+11:00,address,addA3027addB2585,Web,complete,insertValue,2019-03-09T00:56:31.451+11:00,Australia,country,Web
1602,name,name2404,Web,complete,insertValue,2019-03-09T00:57:35.166+11:00,surname,surname2404,Web,complete,insertValue,2019-03-09T00:57:47.402+11:00,age,age20,Web,complete,insertValue,2019-03-09T00:57:50.960+11:00,T3,type,Web,complete,insertValue,2019-03-09T00:57:57.777+11:00,confirm,Web,complete,clickButton,2019-03-09T00:58:03.441+11:00,B4,Web,complete,clickButton,2019-03-09T00:58:07.884+11:00,Clients,Web,complete,clickButton,2019-03-09T00:58:10.264+11:00,clientID,ID2404,Web,complete,insertValue,2019-03-09T00:58:12.668+11:00,Web,complete,pressKey,2019-03-09T00:58:24.878+11:00,enter,update,ID2404,Web,complete,clickButton,2019-03-09T00:58:27.294+11:00,address,addA1701addB658,Web,complete,insertValue,2019-03-09T00:58:30.238+11:00,Australia,country,Web
1603,name,name3104,Web,complete,insertValue,2019-03-09T00:59:17.391+11:00,surname,surname3104,Web,complete,insertValue,2019-03-09T00:59:25.280+11:00,age,age26,Web,complete,insertValue,2019-03-09T00:59:30.892+11:00,T1,type,Web,complete,insertValue,2019-03-09T00:59:37.264+11:00,confirm,Web,complete,clickButton,2019-03-09T00:59:44.268+11:00,B1,Web,complete,clickButton,2019-03-09T00:59:47.259+11:00,name,name3104,Web,complete,copy,2019-03-09T00:59:51.224+11:00,paste,B,name,name3104,Excel,1,complete,2019-03-09T00:59:54.420+11:00,surname,surname3104,Web,complete,copy,2019-03-09T00:59:56.439+11:00,paste,B,surname,surname3104,Excel,1,complete,2019-03-09T01:00:01.246+11:00,add,Web,complete
1604,name,name2968,Web,complete,insertValue,2019-03-09T01:00:21.727+11:00,surname,surname2968,Web,complete,insertValue,2019-03-09T01:00:37.522+11:00,age,age25,Web,complete,insertValue,2019-03-09T01:00:50.609+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:01:04.835+11:00,confirm,Web,complete,clickButton,2019-03-09T01:01:16.097+11:00,B5,Web,complete,clickButton,2019-03-09T01:01:19.141+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:01:21.669+11:00,Button6,Web,complete,clickButton,2019-03-09T01:01:39.944+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:01:43.016+11:00,data.xls,copy,B,value410,Excel,46,complete,2019-03-09T01:01:56.477+11:00,Special code,value410,Web,complete,paste,2019-03-09T01:02:00.105+11:00,Country
1605,name,name3365,Web,complete,insertValue,2019-03-09T01:02:26.360+11:00,surname,surname3365,Web,complete,insertValue,2019-03-09T01:02:37.784+11:00,age,age26,Web,complete,insertValue,2019-03-09T01:02:37.862+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:02:50.016+11:00,confirm,Web,complete,clickButton,2019-03-09T01:02:50.016+11:00,B3,Web,complete,clickButton,2019-03-09T01:02:51.792+11:00,Button6,Web,complete,clickButton,2019-03-09T01:02:55.372+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:02:58.692+11:00,data.xls,copy,A,value41,Excel,57,complete,2019-03-09T01:03:04.868+11:00,Special code,value41,Web,complete,paste,2019-03-09T01:03:06.613+11:00,OK,Web,complete,clickButton,2019-03-09T01:03:10.409+11:00,,
1606,name,name2120,Web,complete,insertValue,2019-03-09T01:03:20.409+11:00,surname,surname2120,Web,complete,insertValue,2019-03-09T01:03:30.085+11:00,age,age22,Web,complete,insertValue,2019-03-09T01:03:33.872+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:03:41.474+11:00,confirm,Web,complete,clickButton,2019-03-09T01:03:41.474+11:00,B1,Web,complete,clickButton,2019-03-09T01:03:43.542+11:00,name,name2120,Web,complete,copy,2019-03-09T01:03:44.602+11:00,paste,B,name,name2120,Excel,1,complete,2019-03-09T01:03:47.272+11:00,surname,surname2120,Web,complete,copy,2019-03-09T01:03:48.909+11:00,paste,B,surname,surname2120,Excel,1,complete,2019-03-09T01:03:51.746+11:00,add,Web,complete
1607,name,name1762,Web,complete,insertValue,2019-03-09T01:04:13.031+11:00,surname,surname1762,Web,complete,insertValue,2019-03-09T01:04:20.490+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:04:32.264+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:04:34.728+11:00,confirm,Web,complete,clickButton,2019-03-09T01:04:52.154+11:00,B1,Web,complete,clickButton,2019-03-09T01:04:54.456+11:00,name,name1762,Web,complete,copy,2019-03-09T01:04:56.445+11:00,paste,B,name,name1762,Excel,1,complete,2019-03-09T01:04:59.630+11:00,surname,surname1762,Web,complete,copy,2019-03-09T01:05:03.097+11:00,paste,B,surname,surname1762,Excel,1,complete,2019-03-09T01:05:07.957+11:00,add,Web,complete
1608,name,name2729,Web,complete,insertValue,2019-03-09T01:05:25.171+11:00,surname,surname2729,Web,complete,insertValue,2019-03-09T01:05:41.581+11:00,age,age19,Web,complete,insertValue,2019-03-09T01:05:48.621+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:05:56.090+11:00,confirm,Web,complete,clickButton,2019-03-09T01:06:04.271+11:00,B5,Web,complete,clickButton,2019-03-09T01:06:07.222+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:06:08.952+11:00,Button6,Web,complete,clickButton,2019-03-09T01:06:11.040+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:06:15.059+11:00,data.xls,copy,B,value501,Excel,32,complete,2019-03-09T01:06:15.059+11:00,Special code,value501,Web,complete,paste,2019-03-09T01:06:16.170+11:00,Country
1609,name,name1093,Web,complete,insertValue,2019-03-09T01:06:48.497+11:00,surname,surname1093,Web,complete,insertValue,2019-03-09T01:06:56.869+11:00,age,age28,Web,complete,insertValue,2019-03-09T01:07:04.668+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:07:12.919+11:00,confirm,Web,complete,clickButton,2019-03-09T01:07:20.204+11:00,B1,Web,complete,clickButton,2019-03-09T01:07:22.586+11:00,name,name1093,Web,complete,copy,2019-03-09T01:07:25.209+11:00,paste,B,name,name1093,Excel,1,complete,2019-03-09T01:07:28.079+11:00,surname,surname1093,Web,complete,copy,2019-03-09T01:07:31.347+11:00,paste,B,surname,surname1093,Excel,1,complete,2019-03-09T01:07:35.531+11:00,add,Web,complete
1610,name,name352,Web,complete,insertValue,2019-03-09T01:07:54.395+11:00,surname,surname352,Web,complete,insertValue,2019-03-09T01:08:04.729+11:00,age,age23,Web,complete,insertValue,2019-03-09T01:08:16.354+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:08:25.935+11:00,confirm,Web,complete,clickButton,2019-03-09T01:08:34.830+11:00,B5,Web,complete,clickButton,2019-03-09T01:08:37.454+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-09T01:08:40.837+11:00,Button6,Web,complete,clickButton,2019-03-09T01:08:42.924+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:08:45.928+11:00,data.xls,copy,B,value37,Excel,30,complete,2019-03-09T01:08:55.145+11:00,Special code,value37,Web,complete,paste,2019-03-09T01:08:59.149+11:00,Country
1611,name,name2918,Web,complete,insertValue,2019-03-09T01:09:24.549+11:00,surname,surname2918,Web,complete,insertValue,2019-03-09T01:09:26.128+11:00,age,age27,Web,complete,insertValue,2019-03-09T01:09:33.271+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:09:49.756+11:00,confirm,Web,complete,clickButton,2019-03-09T01:09:57.017+11:00,B1,Web,complete,clickButton,2019-03-09T01:09:58.891+11:00,name,name2918,Web,complete,copy,2019-03-09T01:10:00.923+11:00,paste,B,name,name2918,Excel,1,complete,2019-03-09T01:10:03.339+11:00,surname,surname2918,Web,complete,copy,2019-03-09T01:10:05.677+11:00,paste,B,surname,surname2918,Excel,1,complete,2019-03-09T01:10:09.485+11:00,add,Web,complete
1612,name,name2306,Web,complete,insertValue,2019-03-09T01:10:30.034+11:00,surname,surname2306,Web,complete,insertValue,2019-03-09T01:10:37.923+11:00,age,age23,Web,complete,insertValue,2019-03-09T01:10:42.112+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:10:59.365+11:00,confirm,Web,complete,clickButton,2019-03-09T01:11:07.912+11:00,B5,Web,complete,clickButton,2019-03-09T01:11:10.179+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:11:13.393+11:00,Button6,Web,complete,clickButton,2019-03-09T01:11:19.943+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:11:22.436+11:00,data.xls,copy,B,value285,Excel,23,complete,2019-03-09T01:11:36.473+11:00,Special code,value285,Web,complete,paste,2019-03-09T01:11:40.052+11:00,Country
1613,name,name1312,Web,complete,insertValue,2019-03-09T01:12:10.100+11:00,surname,surname1312,Web,complete,insertValue,2019-03-09T01:12:21.482+11:00,age,age21,Web,complete,insertValue,2019-03-09T01:12:22.612+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:12:38.414+11:00,confirm,Web,complete,clickButton,2019-03-09T01:12:38.997+11:00,B4,Web,complete,clickButton,2019-03-09T01:12:41.040+11:00,Clients,Web,complete,clickButton,2019-03-09T01:12:44.077+11:00,clientID,ID1312,Web,complete,insertValue,2019-03-09T01:12:46.460+11:00,Web,complete,pressKey,2019-03-09T01:13:02.529+11:00,enter,update,ID1312,Web,complete,clickButton,2019-03-09T01:13:04.943+11:00,address,addA1586addB2848,Web,complete,insertValue,2019-03-09T01:13:08.004+11:00,Country180,country,Web
1614,name,name2882,Web,complete,insertValue,2019-03-09T01:13:41.011+11:00,surname,surname2882,Web,complete,insertValue,2019-03-09T01:13:52.017+11:00,age,age27,Web,complete,insertValue,2019-03-09T01:13:52.081+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:14:00.440+11:00,confirm,Web,complete,clickButton,2019-03-09T01:14:00.440+11:00,B5,Web,complete,clickButton,2019-03-09T01:14:04.106+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:14:08.773+11:00,Button6,Web,complete,clickButton,2019-03-09T01:14:17.026+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:14:18.682+11:00,data.xls,copy,B,value913,Excel,13,complete,2019-03-09T01:14:18.682+11:00,Special code,value913,Web,complete,paste,2019-03-09T01:14:20.737+11:00,Country
1615,name,name1152,Web,complete,insertValue,2019-03-09T01:14:50.725+11:00,surname,surname1152,Web,complete,insertValue,2019-03-09T01:14:51.339+11:00,age,age29,Web,complete,insertValue,2019-03-09T01:14:51.339+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:14:52.986+11:00,confirm,Web,complete,clickButton,2019-03-09T01:15:05.361+11:00,B5,Web,complete,clickButton,2019-03-09T01:15:09.689+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:15:14.522+11:00,Button6,Web,complete,clickButton,2019-03-09T01:15:16.825+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:15:19.794+11:00,data.xls,copy,B,value298,Excel,77,complete,2019-03-09T01:15:27.207+11:00,Special code,value298,Web,complete,paste,2019-03-09T01:15:30.103+11:00,Country
1616,name,name2178,Web,complete,insertValue,2019-03-09T01:15:59.168+11:00,surname,surname2178,Web,complete,insertValue,2019-03-09T01:16:02.428+11:00,age,age22,Web,complete,insertValue,2019-03-09T01:16:10.933+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:16:20.570+11:00,confirm,Web,complete,clickButton,2019-03-09T01:16:23.214+11:00,B4,Web,complete,clickButton,2019-03-09T01:16:25.011+11:00,Clients,Web,complete,clickButton,2019-03-09T01:16:27.972+11:00,clientID,ID2178,Web,complete,insertValue,2019-03-09T01:16:31.598+11:00,Web,complete,pressKey,2019-03-09T01:16:40.870+11:00,enter,update,ID2178,Web,complete,clickButton,2019-03-09T01:16:44.339+11:00,address,addA2634addB2765,Web,complete,insertValue,2019-03-09T01:16:46.543+11:00,Country32,country,Web
1617,name,name993,Web,complete,insertValue,2019-03-09T01:17:19.309+11:00,surname,surname993,Web,complete,insertValue,2019-03-09T01:17:28.003+11:00,age,age38,Web,complete,insertValue,2019-03-09T01:17:39.426+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:17:49.289+11:00,confirm,Web,complete,clickButton,2019-03-09T01:17:52.500+11:00,B4,Web,complete,clickButton,2019-03-09T01:17:54.868+11:00,Clients,Web,complete,clickButton,2019-03-09T01:17:58.739+11:00,clientID,ID993,Web,complete,insertValue,2019-03-09T01:18:02.540+11:00,Web,complete,pressKey,2019-03-09T01:18:19.881+11:00,enter,update,ID993,Web,complete,clickButton,2019-03-09T01:18:21.633+11:00,address,addA968addB3502,Web,complete,insertValue,2019-03-09T01:18:24.894+11:00,Country13,country,Web
1618,name,name27,Web,complete,insertValue,2019-03-09T01:18:56.686+11:00,surname,surname27,Web,complete,insertValue,2019-03-09T01:19:06.997+11:00,age,age28,Web,complete,insertValue,2019-03-09T01:19:26.688+11:00,T4,type,Web,complete,insertValue,2019-03-09T01:19:39.475+11:00,confirm,Web,complete,clickButton,2019-03-09T01:19:46.310+11:00,B5,Web,complete,clickButton,2019-03-09T01:19:50.028+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-09T01:19:52.518+11:00,Button6,Web,complete,clickButton,2019-03-09T01:19:56.201+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:19:57.800+11:00,data.xls,copy,B,value519,Excel,96,complete,2019-03-09T01:19:59.940+11:00,Special code,value519,Web,complete,paste,2019-03-09T01:20:01.659+11:00,Country
1619,name,name1132,Web,complete,insertValue,2019-03-09T01:20:25.881+11:00,surname,surname1132,Web,complete,insertValue,2019-03-09T01:20:36.541+11:00,age,age20,Web,complete,insertValue,2019-03-09T01:20:46.704+11:00,T1,type,Web,complete,insertValue,2019-03-09T01:20:59.512+11:00,confirm,Web,complete,clickButton,2019-03-09T01:21:03.819+11:00,B1,Web,complete,clickButton,2019-03-09T01:21:05.666+11:00,name,name1132,Web,complete,copy,2019-03-09T01:21:08.278+11:00,paste,B,name,name1132,Excel,1,complete,2019-03-09T01:21:10.272+11:00,surname,surname1132,Web,complete,copy,2019-03-09T01:21:13.441+11:00,paste,B,surname,surname1132,Excel,1,complete,2019-03-09T01:21:16.443+11:00,add,Web,complete
1620,name,name3038,Web,complete,insertValue,2019-03-09T01:21:35.913+11:00,surname,surname3038,Web,complete,insertValue,2019-03-09T01:21:38.142+11:00,age,age38,Web,complete,insertValue,2019-03-09T01:21:40.632+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:21:44.496+11:00,confirm,Web,complete,clickButton,2019-03-09T01:21:54.985+11:00,B2,Web,complete,clickButton,2019-03-09T01:21:59.084+11:00,value1,value2044,Web,complete,insertValue,2019-03-09T01:22:02.379+11:00,code,24,Web,complete,insertValue,2019-03-09T01:22:03.819+11:00,B7,Web,complete,clickButton,2019-03-09T01:22:03.819+11:00,open,Web,complete,clickButton,2019-03-09T01:22:08.133+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:22:09.671+11:00,data123.xls,name3038,Excel,complete
1621,name,name3127,Web,complete,insertValue,2019-03-09T01:22:33.615+11:00,surname,surname3127,Web,complete,insertValue,2019-03-09T01:22:39.378+11:00,age,age21,Web,complete,insertValue,2019-03-09T01:22:48.287+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:22:58.162+11:00,confirm,Web,complete,clickButton,2019-03-09T01:23:13.226+11:00,B3,Web,complete,clickButton,2019-03-09T01:23:16.877+11:00,Button6,Web,complete,clickButton,2019-03-09T01:23:18.947+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:23:22.570+11:00,data.xls,copy,A,value878,Excel,58,complete,2019-03-09T01:23:25.230+11:00,Special code,value878,Web,complete,paste,2019-03-09T01:23:28.159+11:00,OK,Web,complete,clickButton,2019-03-09T01:23:29.977+11:00,,
1622,name,name3121,Web,complete,insertValue,2019-03-09T01:23:39.977+11:00,surname,surname3121,Web,complete,insertValue,2019-03-09T01:23:41.925+11:00,age,age21,Web,complete,insertValue,2019-03-09T01:23:49.499+11:00,T2,type,Web,complete,insertValue,2019-03-09T01:24:02.463+11:00,confirm,Web,complete,clickButton,2019-03-09T01:24:07.878+11:00,B3,Web,complete,clickButton,2019-03-09T01:24:11.016+11:00,Button6,Web,complete,clickButton,2019-03-09T01:24:15.369+11:00,Excel,complete,openFile,Sheet1,2019-03-09T01:24:17.967+11:00,data.xls,copy,A,value21,Excel,39,complete,2019-03-09T01:24:25.707+11:00,Special code,value21,Web,complete,paste,2019-03-09T01:24:28.071+11:00,OK,Web,complete,clickButton,2019-03-09T01:24:30.501+11:00,,
1623,name,name96,Web,complete,insertValue,2019-03-09T01:24:40.501+11:00,surname,surname96,Web,complete,insertValue,2019-03-09T01:24:41.896+11:00,age,age27,Web,complete,insertValue,2019-03-09T01:24:57.077+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:25:03.170+11:00,confirm,Web,complete,clickButton,2019-03-09T01:25:03.170+11:00,B4,Web,complete,clickButton,2019-03-09T01:25:05.558+11:00,Clients,Web,complete,clickButton,2019-03-09T01:25:08.588+11:00,clientID,ID96,Web,complete,insertValue,2019-03-09T01:25:11.078+11:00,Web,complete,pressKey,2019-03-09T01:25:16.995+11:00,enter,update,ID96,Web,complete,clickButton,2019-03-09T01:25:20.584+11:00,address,addA3401addB489,Web,complete,insertValue,2019-03-09T01:25:23.823+11:00,Country169,country,Web
1624,name,name3671,Web,complete,insertValue,2019-03-09T01:26:02.900+11:00,surname,surname3671,Web,complete,insertValue,2019-03-09T01:26:09.140+11:00,age,age28,Web,complete,insertValue,2019-03-09T01:26:15.698+11:00,T3,type,Web,complete,insertValue,2019-03-09T01:26:29.567+11:00,confirm,Web,complete,clickButton,2019-03-09T01:26:44.933+11:00,B4,Web,complete,clickButton,2019-03-09T01:26:47.008+11:00,Clients,Web,complete,clickButton,2019-03-09T01:26:48.602+11:00,clientID,ID3671,Web,complete,insertValue,2019-03-09T01:26:52.120+11:00,Web,complete,pressKey,2019-03-09T01:27:04.772+11:00,enter,update,ID3671,Web,complete,clickButton,2019-03-09T01:27:07.433+11:00,address,addA942addB2573,Web,complete,insertValue,2019-03-09T01:27:10.911+11:00,Australia,country,Web
